Category,Kenwood,Lake View,Lincoln Park,Lincoln Square,Logan Square,Loop,Lower West Side
2006-2010,87.65693493,96.81339546,95.13969906,87.53335225,82.72830591,95.08972431,57.65819748
2007-2011,87.89356644,96.87658271,95.46541557,87.50489773,85.85181198,95.26030004,60.16462104
2008-2012,87.73613565,97.04620029,95.80286993,86.7504671,86.05075348,95.50137125,60.50235406
2009-2013,88.40823152,97.20714254,96.19746618,87.69233754,88.14613457,96.72063428,59.36489269
2010-2014,89.95660638,97.1598071,96.50247586,89.16985863,86.88224896,97.20086237,63.04990877
2011-2015,91.00243843,97.09645001,96.99991197,89.0012635,87.43489238,97.6846138,64.24708105
2012-2016,91.60343473,97.51321614,97.2421108,91.05038117,87.79924211,97.91468894,67.81617663
2013-2017,92.3358952,97.56403214,97.44281827,91.65165523,88.9909247,97.68184979,66.97730563
2014-2018,91.96727103,97.60372995,97.70759808,92.52798096,89.59173463,98.2104146,70.22705487
2015-2019,94.38049253,97.35196404,97.57697624,93.07048663,91.31762211,97.95213623,73.24255342
2016-2020,94.12567292,98.06232691,98.09639669,93.41126191,91.40709821,96.04754841,76.78798632
2017-2021,93.75561829,98.12066168,97.81870976,93.79216466,92.06200352,97.24545252,76.05443318
2018-2022,94.47519096,98.0423632,97.88617972,93.70818682,91.91876774,97.19097999,76.69269048
2019-2023,95.35161782,98.1584623,98.01845465,94.0381292,92.47775808,96.30554522,77.61065419
2020-2024,94.56191922,98.23304987,97.94934521,94.72424939,92.70610176,96.76240553,78.34205472
