Category,Gage Park,Garfield Ridge,Grand Boulevard,Greater Grand Crossing,Hegewisch,Hermosa,Humboldt Park,Hyde Park,Irving Park,Jefferson Park
2006-2010,46.63694027,78.72760163,82.42688751,81.10635031,82.70076355,59.31308864,63.29491863,95.97580053,80.19382384,86.16925115
2007-2011,47.0495785,80.78795158,82.55160893,82.10569562,81.68402757,58.93868182,66.79416722,94.97758669,80.13186927,88.19906792
2008-2012,48.97335536,79.83214387,84.31680905,81.93848415,81.89226425,58.96611341,66.11118438,95.67864846,80.10024854,86.21330241
2009-2013,51.08769687,80.40845251,84.01445644,82.93193028,81.99083286,58.2571271,68.62247026,95.86388775,80.9359074,87.02680035
2010-2014,52.33858667,81.52684856,84.5862293,83.57310575,82.81776576,58.78068649,70.99488773,95.51192719,81.20632063,86.4918172
2011-2015,56.72043718,80.63723215,84.15269065,84.16057023,88.14665403,58.41395275,71.78547266,96.57418917,82.93400244,86.38350315
2012-2016,59.56691532,80.3032362,85.19948835,83.96221626,85.69822361,59.6235224,71.51627022,97.23220064,85.47296937,86.82429946
2013-2017,62.33960946,81.05723015,85.12486039,85.82241115,87.26780299,62.71787692,72.92047179,97.28540995,87.25753117,88.68325739
2014-2018,65.73452528,81.89318534,85.82264622,85.94830592,87.87770508,65.32892568,73.04766153,97.19000298,87.39694547,89.91142922
2015-2019,68.63666645,82.37571508,87.01296281,85.6394639,84.53446426,66.67066976,72.70364638,96.88216465,86.88819443,90.91171616
2016-2020,67.46521726,82.23630327,87.54680063,86.26781079,81.84910622,69.79784261,74.92018964,95.96124413,86.33469268,92.61944988
2017-2021,68.60188319,82.05053225,87.92637792,88.64281708,86.99633304,72.24804893,75.11986378,96.49394341,86.43669892,92.49354928
2018-2022,70.14397505,83.40215611,88.51365567,88.55889195,85.42317052,72.34625061,76.34982285,96.5989838,87.34020139,92.05433202
2019-2023,67.19053878,83.14424764,88.45226649,86.58273,84.52729695,72.84229388,76.31612842,96.42848578,87.65789529,92.26454362
2020-2024,66.65401044,82.39433815,89.44911924,84.93817386,86.77607189,74.70981753,78.10085467,97.31395356,90.32747394,92.42466681
