Category,Belmont Cragin,Beverly,Bridgeport,Brighton Park,Burnside,Calumet Heights,Chatham,Chicago Lawn,Clearing
2006-2010,62.36221646,95.19233877,74.71197332,52.47736085,81.44079817,88.5940318,86.71037463,70.45587406,81.81588343
2007-2011,62.05217079,95.84410765,76.15836069,55.69860057,85.34332772,89.73569092,86.14585465,70.74671711,81.06754718
2008-2012,62.16924826,96.28078757,78.64194853,55.47593868,80.69769175,89.14976059,84.5839174,71.63110012,81.56641644
2009-2013,61.29099535,97.21763025,76.57299317,54.29518504,73.39131092,89.74114114,85.63418176,72.30096434,83.21968448
2010-2014,61.57627591,97.19134474,76.78112646,54.98875383,78.17485586,89.40244659,86.58938032,73.28569871,84.24608979
2011-2015,62.94864848,96.47271667,78.56189976,56.62702223,78.7674861,88.48488142,86.32383564,73.58898486,83.94624155
2012-2016,64.49193953,96.73519367,78.0254632,57.64482746,81.30112866,88.35947587,88.29954009,74.52585368,85.22846811
2013-2017,64.50115522,96.77111514,79.21542805,59.57789102,85.9439508,89.41024804,88.74917385,74.99390181,85.46524843
2014-2018,68.08030845,96.25591614,80.05383845,63.85555534,85.52530722,88.53956712,87.8750761,77.63648868,84.229198
2015-2019,68.59920528,96.56261467,81.37636589,66.1704079,84.59892719,91.38300553,88.05125186,76.98877959,85.14941764
2016-2020,68.32154077,97.55734836,80.60152004,66.15841331,85.84060225,94.22868953,88.18984731,74.2206518,87.72533623
2017-2021,69.38114996,96.99906228,81.38393263,69.34625271,85.48783192,94.98384213,87.4706124,75.77743561,87.17906731
2018-2022,70.7022197,96.97778326,81.92580452,70.83524386,87.19413853,94.56720007,88.02042489,76.4425443,86.53609072
2019-2023,68.89954343,97.63493443,82.65828956,70.40576192,89.23180997,95.36170074,89.77650236,75.43843159,85.76271593
2020-2024,70.05391609,97.41934894,82.52033842,69.31569313,86.66607428,94.25745683,90.2741738,73.52759456,84.57575053
