Category,Douglas,Dunning,East Garfield Park,East Side,Edgewater,Edison Park,Englewood,Forest Glen,Fuller Park
2006-2010,83.46985181,82.25695097,72.50217553,63.43014203,91.31387545,91.47510596,71.15454319,93.96003069,67.14461643
2007-2011,85.97754829,83.50855323,74.07692733,63.83904143,90.41426342,92.09623889,72.57785357,95.01551346,65.16690075
2008-2012,85.96194773,84.25781915,77.66152795,67.81818023,89.71286304,92.26796254,71.70411485,95.38361897,73.3000983
2009-2013,86.33016477,84.95564182,78.2832269,69.45978489,90.22600199,92.1218757,73.4127497,95.86667995,71.47377188
2010-2014,85.60849406,86.11664529,78.24494961,69.93928389,90.54417122,91.97592418,72.84380846,95.89440894,77.05637967
2011-2015,86.54308885,87.02000165,77.60440183,68.38942758,90.93358724,94.68142996,75.26964425,95.33680205,75.8056026
2012-2016,87.64769703,87.38458827,77.76135753,68.01931598,90.17328346,95.59376309,76.61500819,95.65436991,74.62787609
2013-2017,88.84313669,87.62694049,77.20733736,65.19797964,90.72614259,95.01800925,74.71393386,94.99679275,75.32828922
2014-2018,88.8992421,88.92561264,76.65970645,66.03594397,90.1281717,95.45135443,76.60855404,94.30469172,77.57104711
2015-2019,89.41365683,89.44521665,75.86332091,68.01302974,91.21332573,95.63652224,76.44494376,94.65368556,78.7730719
2016-2020,86.78645877,89.17816285,78.17044017,72.12665316,91.18772033,95.64591396,76.51008534,94.70465796,77.14943092
2017-2021,87.75345369,89.47569922,80.7955999,73.97717196,92.6024208,96.06131508,80.00828955,94.80367529,77.85151214
2018-2022,88.32419952,89.74224741,79.97536604,73.84979994,93.05512231,97.49958422,79.485787,95.54409596,75.61111158
2019-2023,89.00632812,89.05543494,82.3369846,75.16911912,93.46971054,98.33129992,76.90635876,96.12213335,73.98593946
2020-2024,89.31802948,88.67849248,84.03033933,76.47816361,94.3241447,97.75570995,78.77652271,96.28184474,76.9955389
