Category,Hegewisch,Hermosa,Humboldt Park,Hyde Park,Irving Park,Jefferson Park,Kenwood
2009,57,163,475,195,469,217,131
2010,79,184,461,140,470,212,144
2011,59,162,420,160,422,217,117
2012,69,147,403,198,557,307,153
2013,66,193,473,248,746,354,206
2014,104,159,447,217,657,321,170
2015,94,166,432,291,677,343,182
2016,125,163,477,313,826,398,211
2017,116,159,471,332,823,417,226
2018,115,164,469,307,706,382,222
2019,139,148,406,300,760,359,188
2020,91,128,397,269,668,370,172
2021,164,139,437,361,913,476,263
2022,140,143,398,321,766,434,201
2023,115,90,336,248,565,275,165
