Category,Near North Side,Near South Side,Near West Side,New City,North Center,North Lawndale,North Park,Norwood Park,O'Hare,Oakland
2009,2257,730,1079,502,515,312,126,360,112,64
2010,2202,575,916,416,579,281,119,330,136,28
2011,2124,463,810,294,526,240,127,361,145,42
2012,2659,676,1018,272,609,245,150,451,158,53
2013,3028,880,1341,314,851,248,168,570,187,54
2014,2817,849,1214,297,768,221,161,543,136,47
2015,2889,891,1298,279,809,232,201,548,145,56
2016,2981,994,1301,323,859,263,185,585,190,44
2017,3014,968,1400,335,812,323,182,659,206,37
2018,3068,855,1254,326,778,318,180,579,177,42
2019,2737,753,1246,330,693,326,158,584,148,44
2020,2334,606,1050,219,689,269,161,624,156,42
2021,3315,1019,1701,400,973,372,188,772,188,54
2022,3005,792,1375,340,751,298,161,607,185,45
2023,2361,574,925,271,541,240,151,455,168,31
