Category,Portage Park,Pullman,Riverdale,Rogers Park,Roseland,South Chicago,South Deering,South Lawndale,South Shore,Uptown
2009,455,75,10,460,467,311,108,198,378,681
2010,491,44,11,455,396,286,105,246,390,507
2011,517,43,10,445,271,241,53,205,341,455
2012,623,48,11,534,301,228,91,242,379,648
2013,753,63,9,600,430,299,82,267,492,884
2014,717,80,13,541,376,260,88,223,504,868
2015,690,79,10,518,363,278,134,204,453,877
2016,800,64,14,624,466,292,146,258,522,1100
2017,798,82,11,701,541,308,159,291,516,1315
2018,777,98,10,631,669,354,165,298,608,1137
2019,713,112,18,686,610,384,151,295,494,1042
2020,698,61,10,553,496,288,113,167,493,834
2021,929,81,18,820,690,422,204,275,502,1306
2022,718,75,29,656,662,379,211,266,568,1003
2023,547,87,26,530,567,323,143,184,397,706
