Category,Washington Heights,Washington Park,West Elsdon,West Englewood,West Garfield Park,West Lawn,West Pullman,West Ridge,West Town,Woodlawn
1999,35.14483690725436,34.99107978,38.844850397931246,35.415046186659666,40.73522598809373,38.512329979900294,32.957603025639045,41.16211004064985,53.740183735017666,35.35247875856818
2000,,,,,,,,,,
2001,,,,,,,,,,
2002,35.14483690725436,34.99107978,38.844850397931246,35.415046186659666,40.73522598809373,38.512329979900294,32.957603025639045,41.16211004064985,53.740183735017666,35.35247875856818
2003,,,,,,,,,,
2004,,,,,,,,,,
2005,35.14483690725436,34.99107978,38.844850397931246,35.415046186659666,40.73522598809373,38.512329979900294,32.957603025639045,41.16211004064985,53.740183735017666,35.35247875856818
2006,,,,,,,,,,
2007,,,,,,,,,,
2008,,,,,,,,,,
2009,,,,,,,,,,
2010,,,,,,,,,,
2011,35.405172289836756,35.13947197682719,41.70585219111517,36.27793581399462,40.390646502484934,41.61817751487323,33.34461697147177,35.41721073941922,43.87611008308243,34.32993047374701
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,35.405172289836756,35.13947197682719,41.70585219111517,36.27793581399462,40.390646502484934,41.61817751487323,33.34461697147177,35.41721073941922,43.87611008308243,34.32993047374701
2015,,,,,,,,,,
2016,,,,,,,,,,
2017,30.000876065288182,29.999999999999993,37.27198681754352,30,31.94965492237385,45.659302755997594,30,30.00010626024885,34.24092589588107,30.000000000000004
2018,30.000876065288182,29.999999999999993,37.27198681754352,30,31.94965492237385,45.66393224467706,30,30.00010626024885,34.24092589588107,30.000000000000004
2019,29.99989460615355,29.99959537981801,30.000000000000004,30,30,35.66393224467706,20.002072692079047,20.001166818381666,30,21.010979786552117
2020,30.000000000000004,30.000000000000004,30,29.999999999999996,30.000000000000004,37.099220599048444,30,30,30.000000000000004,30.000000000000004
