Category,Gage Park,Garfield Ridge,Grand Boulevard,Greater Grand Crossing,Hegewisch,Hermosa,Humboldt Park,Hyde Park,Irving Park,Jefferson Park,Kenwood
1999,38.99630665753906,40.87864903122267,38.003522992293874,36.01525352656246,31.12318797,44.20128892340116,42.52166806440175,37.74787316190331,44.981005939827476,40.77712168137429,37.98474147756238
2000,,,,,,,,,,,
2001,,,,,,,,,,,
2002,38.99630665753906,40.878649032641064,38.003522992293874,36.01525352656246,31.12318797,44.20128892340116,42.52166806440175,37.74787316190331,44.981005939827476,40.77712168137429,37.98474147756238
2003,,,,,,,,,,,
2004,,,,,,,,,,,
2005,38.99630665753906,40.87864903122267,38.003522992293874,36.01525352656246,31.12318797,44.20128892340116,42.52166806440175,37.74787316190331,44.981005939827476,40.77712168137429,37.98474147756238
2006,,,,,,,,,,,
2007,,,,,,,,,,,
2008,,,,,,,,,,,
2009,,,,,,,,,,,
2010,,,,,,,,,,,
2011,40.08139283466792,47.87228145417923,36.82764538,35.04535556,33.05626450882074,37.950511469041686,40.27355020785969,34.28023771731623,37.97531865909636,37.62480735702267,35.44861204623091
2012,,,,,,,,,,,
2013,,,,,,,,,,,
2014,40.08139283466792,47.87228145417923,36.82764538,35.04535556,33.05626450882074,37.950511469041686,40.27355020785969,34.28023771731623,37.97531865909636,37.62480735702267,35.44861204623091
2015,,,,,,,,,,,
2016,,,,,,,,,,,
2017,32.87676827393311,39.999878839210446,30,29.999999999999996,30.000000000000004,29.999999999999996,32.37419230683967,30,30.002328394077573,30,30.000000000000004
2018,32.87676827393311,39.999878839210446,30,29.999999999999996,30.000000000000004,29.999999999999996,32.37419230683967,30,30.002328394077573,30,30.000000000000004
2019,29.999999999999996,32.85246090637815,30,25.32970878312285,24.145487926833024,29.999999999999996,30,20.00044350856183,30.000000000000004,30,23.546980243659828
2020,30,30,30,30,29.995430208657446,30.000000000000004,30,30.000000000000004,29.999999999999996,30,30
