Category,Kenwood,Lake View,Lincoln Park,Lincoln Square,Logan Square,Loop,Lower West Side,McKinley Park,Montclare,Morgan Park,Mount Greenwood
2001-2005,111.06339590740933,137.60205419939368,113.02059502419341,80.61381563708147,402.2989517865936,105.59295699682659,283.4182601792348,80.60648896989039,28.416152283884234,131.76036241259692,23.776168192529543
2002-2006,108.46027194995023,124.60351532106083,108.43134584407748,70.02905658,351.1692179019769,104.38875474826105,244.6219760215657,78.38001446,23.817592286503253,128.34525797894221,20.579748278066788
2003-2007,106.45494767669186,117.00693539985555,110.62946331508422,61.45106176301192,313.5836173073448,100.43660462889827,228.15334238408798,75.58878245447981,22.214880264112093,122.55575806226616,20.77923924647167
2004-2008,102.45294001768467,114.60472310812314,102.26205867901655,57.67841187267865,284.9846108157567,97.71878848990717,214.93817875038204,77.20877025,23.01109017,125.35425240992976,20.580474924569497
2005-2009,95.65225555082424,106.81424099244339,91.89942847416566,54.67868186103417,271.8877678983602,91.67570417160833,201.96796648000966,70.42959229173674,22.808379388960795,128.94691639987505,22.177747426214996
2006-2010,84.84701598069336,107.6181462402361,90.69467142166216,49.49404838784478,264.77936366586937,88.49978918136509,184.2111888477892,65.66075076,24.607088689791528,129.73092916038692,20.37890094209353
2007-2011,75.24188839136781,111.21573339408575,84.70356456,48.694395736808524,242.54002760617388,82.51723672540477,172.95627526283783,60.88801716,23.807079340990796,123.73420724578855,19.180330630649813
2008-2012,69.24062546857638,112.01617031168654,74.71238103940293,48.89766425939881,221.13501871410685,77.43347986291704,161.7292533,58.89592317349438,24.006213862859106,117.73609038885276,17.780988000857114
2009-2013,61.63435809092616,107.6183073606072,66.71867343076043,44.098497113881756,205.20818782501433,72.96576616,147.4894605242308,54.86272487207907,20.406401073956765,102.14490704013164,14.383303025235453
2010-2014,55.62909119178392,107.01684096572671,64.31484735203176,42.69434228219861,186.08822397374698,74.43254443023567,136.1430143243334,49.87370588,19.20488049189197,89.35238829,12.184910738508568
2011-2015,53.62901266,104.61183534788984,56.336803585606965,42.50093207543736,161.76248569942697,76.33547772836916,134.81621664529874,48.858700062279276,18.803003381596522,83.95462865536318,11.985499456038609
2012-2016,52.628335327952534,103.21084206524475,53.53405087156315,43.898793338787385,156.9959543047338,90.20208575724608,137.10511614252007,49.269060497564084,20.800344200021534,79.35700845058093,12.385040017444828
2013-2017,52.62506509276525,100.01388358044052,53.94295535717543,44.88515098466086,155.0008605666594,110.33666531275087,137.5505906288426,47.64935090781543,22.400237508142098,81.36924282167568,11.987031915410764
2014-2018,58.42845275136355,105.8138031213015,63.335400270160164,46.09834636,157.01758612195295,135.2637469572701,139.80818335119162,45.67775759699181,23.802133156192824,85.96506664426035,11.386777081829734
2015-2019,64.63166448537466,118.41202586210518,66.93284726367183,49.29910557876557,156.53016401587513,157.43910560811418,140.68878978778085,43.89592671370671,25.80232531303126,91.96151790014211,10.388042944485333
2016-2020,73.03010878110128,115.00902184730114,71.32542682678888,52.077098,157.1195525085101,169.58812000008518,139.75780216625154,42.51677503769282,25.405134214994266,96.03213764591852,10.19122545141638
2017-2021,76.23457717837792,119.0076626524477,73.92459215,53.87649322686635,151.22742844177608,182.53960744514714,143.9970799966485,42.298202368687505,24.610335816559914,99.82661603367875,11.38885593414307
2018-2022,83.43712592500124,126.60698717112044,75.52268867009819,57.88392784289061,145.40021242724757,196.0808348895216,150.76475842381967,46.89443535996217,23.00934873458716,101.0039138966185,11.588051303923145
2019-2023,92.03835287,139.01695764166206,72.10876991203999,65.10639847722351,144.16880405236432,215.79697517255616,158.10942185335617,53.26493949573339,23.016993262089443,97.62333872,12.986882318155756
2020-2024,99.84164811188988,144.81982951674954,71.52332761707653,64.91850651141387,154.62978267300073,222.8035026875644,168.32318148976915,57.63237623790685,23.21582978528634,99.03430233651942,14.38648095571905
2021-2025,102.44548919484244,154.01859620027054,74.92925981586612,66.92649812980505,157.7285729428362,235.7185124655696,169.5271815650425,58.211265702673984,24.013092155012927,96.35968102200889,13.983229366055443
