Category,Gage Park,Garfield Ridge,Grand Boulevard,Greater Grand Crossing,Hegewisch,Hermosa,Humboldt Park,Hyde Park,Irving Park,Jefferson Park
2001-2005,205.8092819,124.85357229127084,532.9864865425419,662.6877827677963,33.82770090924321,125.98673098028155,795.8240989777281,83.43800173059095,163.12496507808746,28.56845818893938
2002-2006,202.996915,122.11864922533294,438.01878826711135,634.8048078384109,32.05022527604303,109.95199749611976,730.8365345484751,79.03769365609455,144.53922690662085,27.370021658390268
2003-2007,191.8073397894546,110.30866685540303,384.0327872535515,614.5210666,33.01928706656315,104.47104468467353,667.0544656,74.04048058035006,129.54870624776646,25.762782169796353
2004-2008,182.91215562696044,115.21502698696773,343.8497841370095,616.0070495022306,32.21652075358901,99.42349936822718,640.4248927847989,66.44703859393016,129.14593707493952,25.170249702506634
2005-2009,178.92573666065886,109.54490032386694,310.4630176823725,616.3271423946899,29.262025748290476,103.40855717450921,636.3995407286238,61.04064044,124.5458630361903,27.36407963557785
2006-2010,173.4879415696572,100.41927461004175,275.8572552261534,615.2637194744908,31.43089314,105.2174878253114,623.3327062365934,53.235958236940114,129.1497136166771,26.572647611142774
2007-2011,158.4518870026857,86.33617035417706,252.05514427101218,593.4435401206669,32.22036922,107.03483784078014,605.1805886226639,47.63448852300349,132.35090737011436,23.97937629650612
2008-2012,148.4419679777489,78.06784235,224.26129005883158,550.1914571304925,30.06065588572204,102.06963025183809,585.0439485029652,43.42852774581834,129.15227041853657,25.179482985450303
2009-2013,134.9423917911035,63.43748808312036,209.45880048221764,502.7339626,27.693475530617295,94.12094667157321,540.8550448655944,38.23072304560954,118.95555780899024,23.38343597749041
2010-2014,120.95813094532424,52.24701169,193.45083367219493,453.28638311516613,27.089724060781776,84.30757478050342,494.4667717750219,36.63161013789792,113.95931076307234,20.18509146407331
2011-2015,110.76529821436725,45.00093535687064,184.26430179052772,425.92666174514346,25.501344165879633,79.25581483362554,460.2646903306347,36.632401475020345,110.5600512683704,19.780154456009917
2012-2016,115.1030580608153,45.863431530127954,178.46842999272405,423.28288033862793,25.69449819819752,72.24071579501702,452.5335984957691,35.82940418522597,106.95540860364684,19.77940262249174
2013-2017,116.22957188190753,44.653391320876274,179.8723392127039,434.73243237112985,25.688100058126942,74.02258745361294,468.64624045435687,35.43053447467926,104.35249410349886,19.982900668873427
2014-2018,117.48967445041939,44.815901649378276,187.47197431763016,459.57961219219976,27.86093282093256,72.99205395777494,486.3723689350493,41.02747251639625,103.96475078625922,22.57477067685595
2015-2019,121.0648748726348,46.44667796321328,190.0786681563425,492.2083341847558,26.882004440012857,69.37535783,491.03358497879395,46.22576728798482,103.96319537048927,23.582217930949618
2016-2020,120.93338852755608,50.37078550625477,204.07252902599885,519.1349019770046,28.275418402938552,66.97337295930939,504.4265026105116,51.830637093144674,104.76950289037751,26.983889276830652
2017-2021,111.99597869237014,51.04843048504724,215.66751411405173,557.0991034420967,29.65528972475477,65.18155184075155,498.12463206795996,61.629414571395706,109.16034983683545,29.180765515883813
2018-2022,115.1475853023055,57.11394419729145,221.45955793989134,560.8865336834822,32.42027337693609,62.16465722800837,471.0260316211739,71.23736418956109,116.55454076687408,31.78141858248664
2019-2023,136.89890043658878,61.05636836148264,226.47365332525047,571.6060757193269,35.77743045848749,65.16880896984853,456.0099556118356,71.83910256347305,115.1509997765407,35.18553115419271
2020-2024,149.9768691143222,72.61735911543308,236.0829851763806,576.21285,41.298267659377416,72.58099621992936,459.95300811292174,82.84229246696046,120.55015818231644,38.77824855571127
2021-2025,152.70961769903838,74.92824261942592,230.0765901912773,578.0499757,42.67772401540444,69.61251406148214,431.2845221458706,87.6427015,116.54986020588468,37.57360582009885
