Category,Washington Heights,Washington Park,West Elsdon,West Englewood,West Garfield Park,West Lawn,West Pullman,West Ridge,West Town,Woodlawn
2006-2010,64299.11527,39908.91788491947,71776.29270721211,39275.240554169766,34427.83416,69192.20319152084,57976.35957239422,74936.88097755067,95913.90237639971,40896.424076675925
2007-2011,61222.15114342984,43246.096232136784,68953.10520118165,38297.26454329883,35662.22203105427,69453.89011107382,55918.57437280816,74192.53786910832,97200.48671681057,41281.664309097665
2008-2012,60497.318485426404,41847.386482621805,64038.444545586746,38138.92769437164,35594.18805009848,65063.47325395522,55652.16286128721,68781.18302387242,101135.97610442089,35684.917980182516
2009-2013,58329.27900852994,40330.833580098806,62485.05936,37366.981191699124,33021.69801065685,64900.47063449843,49624.30679945164,72342.90763254992,99326.62862798834,33360.85812727749
2010-2014,57581.200562518185,38892.37927860093,60209.763575784746,37000.779568893944,34695.92878490899,66976.20460336373,48295.30377390863,73742.98472469408,101301.72870937557,34075.50554
2011-2015,61454.427457373924,36065.02042682147,60255.63320383184,37742.58157995492,32555.184716830805,70679.83434721336,48028.03368910667,66055.05655542649,105457.49402482569,33312.296
2012-2016,62019.359572625326,31372.10426779609,64745.921727748355,37096.11143470096,31313.02637091856,68895.17858452561,48566.08290370775,71746.54722863504,108311.15143342088,33427.020338882954
2013-2017,62180.76559998015,35396.42333924001,67684.49726925419,36926.503216696634,31012.728360589525,69387.94567897037,48824.32004960877,71812.19768862317,116367.38868612914,35168.68007242002
2014-2018,62564.095054317266,37695.646800501614,70633.78230803687,36109.49741587933,31652.448256128675,68620.21714,53370.39849,69672.00545323105,121886.00134696659,37473.66256064106
2015-2019,66095.42828935989,33939.52298933607,75857.01861931154,34026.39144333886,31690.97039490355,72867.11992984996,54354.03595231469,75165.61370715719,130529.79296302705,36199.50501623907
2016-2020,71332.17847190062,30862.67235,65063.480491321956,34926.76473,35059.57166854597,67800.6082,57369.44779922841,74250.75797925591,139162.01298462448,39504.258731251735
2017-2021,66815.77662,29128.32953327335,65789.68940239993,33509.99142093321,39234.71299817156,74799.59075828808,55837.07067636997,71075.86119721607,140174.3418000932,38757.23933429334
2018-2022,72984.66267121214,37706.06750900545,66998.21840320237,32918.921964559835,38406.504997934986,74632.89177187771,50730.59563074268,74371.99521,140974.28013153234,37221.73463606966
2019-2023,71950.0365,36459.90112438576,73411.55368070287,38909.61691980608,37565.37852083744,75024.79919348196,51044.258702175066,75704.3728,142953.01824198532,40458.148755785725
2020-2024,64755.74300878484,37542.62252253063,77751.55750530158,41909.08573887645,43272.653887734705,69578.52804161936,54295.78081994608,71334.90396562577,141145.37633519724,42469.38244910356
