Category,Albany Park,Archer Heights,Armour Square,Ashburn,Auburn Gresham,Austin,Avalon Park,Avondale
2006-2010,68196.91231,70141.42265020094,39627.31506,88650.53194303112,52251.43593761752,50811.63502109502,63249.78903,70610.88379234227
2007-2011,65726.51426550496,63649.21754820968,37860.41118,89388.21105982608,49021.726302884126,49960.61490487092,61511.985408219305,68637.19433855997
2008-2012,66277.49623356742,63756.84532057603,28889.460996545888,91985.21716085987,43322.232348623525,48289.155980757685,60011.42050699202,67113.37721622651
2009-2013,68956.55879812971,69669.10621244973,33327.083922735765,89662.75247153388,42602.740677765614,46696.03917,60490.33648937023,63339.84894337685
2010-2014,73910.61639140792,59185.98358582852,31339.79335182328,87395.24126970494,42281.69580752451,45691.425590806044,58977.01004044701,61107.314430492566
2011-2015,73135.05248258723,59697.209933527345,31093.230846814535,83181.34366408568,40057.27295355175,45887.749263241705,52986.81878226025,59283.11016057766
2012-2016,76593.80996934304,64997.25649,32354.22817607692,87783.03165717158,40103.25794178777,46440.558366569254,47053.594297219366,62730.26335016426
2013-2017,78001.90011018327,63218.09529439762,32942.35586829597,83993.67203828644,41743.030649132816,46543.51101409031,49717.53230444135,68403.89620194776
2014-2018,76691.29076886066,58385.02967,35485.76277330132,87566.34747,43817.18613549376,48928.54491446755,54081.13752043082,77556.42012569017
2015-2019,79134.47453039112,65367.36416070985,38856.96390164489,89103.78677,43559.42863313818,49939.54629512685,55909.59310816522,83491.71774207051
2016-2020,84572.84479657374,59206.10898049521,48891.65343301904,88246.90273126385,46419.095168509484,49772.895375487395,67804.44593700132,89369.25347
2017-2021,83232.06026056963,59758.06831163917,43770.035738693834,83836.09416592427,45800.58835690294,50636.76103177222,61367.46305545524,92501.66134447644
2018-2022,84276.04397749646,63977.824911549105,50632.621718431445,83189.11077079558,46685.61844211445,49848.722958651655,55742.82711837918,95927.75592678171
2019-2023,86061.87142864295,68597.54279360194,46133.615697741945,85403.61993157277,48485.84320747772,53451.831155277636,51698.54603538948,95391.16123077547
2020-2024,87083.51175687861,67121.40569175016,45651.44933519941,83932.28062293658,48296.85167320638,51826.85140200681,60547.83129661174,91966.21809322323
