Category,McKinley Park,Montclare,Morgan Park,Mount Greenwood,Near North Side,Near South Side,Near West Side,New City,North Center,North Lawndale,North Park,Norwood Park
2006-2010,60728.91839446322,68313.51310808482,75192.18717114435,116859.46164754551,102990.25157628584,94253.18104122307,82851.64339580807,59085.15140694978,116848.05330849373,37964.22348416705,78308.40348,97241.03702612124
2007-2011,58139.05813503585,62297.98461521367,75690.98264596304,115512.63808743298,104619.10656174734,90173.21796724011,86256.04846458531,59397.00214205359,116947.0382233123,38318.035079056404,73406.28284710468,98276.48966250411
2008-2012,55125.44712016941,58246.350677442424,75729.89766570444,118822.29763527201,104894.41183163147,86382.72369810496,83512.21656169466,54574.88474827823,119085.76175176456,34190.46429,79158.83604922114,94421.00730941317
2009-2013,54232.67730564006,58559.89848783703,77485.13040450413,112801.0914337374,105771.81757197737,86944.84360213278,82561.67443874702,55321.671213135385,113565.73626677303,33726.37967968934,80242.64516146436,92805.76076826586
2010-2014,53465.779520025804,54809.55228946395,76828.90486972031,116174.01281978594,107961.83516025315,85441.95942239834,80636.68311498132,50939.68471753284,114754.1948335767,33635.29707018105,76437.72034095738,94577.95165229967
2011-2015,56683.78866752984,59527.28312263223,75428.59533,115064.72014974855,109626.63843677344,92816.30078544948,87058.31981377475,52405.81251664058,116701.21520450218,32433.564915173825,76222.81039848024,98602.73832532667
2012-2016,56239.187647742096,64882.03474412719,73428.43364061083,116182.1544161367,123005.81649795335,104852.3159111056,85027.90635727021,51462.052788023975,127745.05426837079,33843.809644826964,74466.64683385128,97173.95208879767
2013-2017,57974.20397862787,63266.26827,74008.73999551246,118798.18428327149,118698.65639593182,111240.26276066604,89093.81249,51593.22434603392,134267.41507160818,36543.79983070301,77256.77805400411,96181.81991537994
2014-2018,58261.40155262218,55989.47550013991,75128.54724872585,120624.0293586504,124667.16014774713,120807.49234689798,89632.58366203656,50552.549603946994,142829.73188484373,35973.89060382132,73948.28921568915,100359.9322650808
2015-2019,62205.49478595431,63359.72783902841,78297.47732622396,122267.83468980402,128781.70333523996,129664.17058986174,93434.12499,55362.86929830696,150961.61408738542,37062.14283442622,73915.38930043112,102679.35532458828
2016-2020,76327.36933384357,68841.23419188197,79392.36405887402,121053.99074547719,131935.57239948984,137914.1295708339,109901.55332603108,45907.49735991558,166417.86280154382,41517.13998256559,73683.02166958766,112326.9247304902
2017-2021,75162.65752256785,64753.334258546536,78091.40628431526,125108.14105618701,136138.2435010543,129232.91398918748,113845.6765773838,46438.49883252415,164480.38432853602,39217.64507229572,73670.33858486786,111891.14376396977
2018-2022,73671.44868996859,77595.95481768408,75117.07543560314,118144.66302067185,136920.43855092092,133388.61426408245,112901.24628624698,46956.95506151447,163219.9700968732,38862.39098111613,75908.74090590166,113866.37879189411
2019-2023,78572.24939754009,79336.79069903474,78983.85558186535,116567.36130650547,131799.76656809042,130340.80242631651,118632.20371001722,54007.224073471996,151779.17603531101,43152.67728,70991.77878,114833.02909480683
2020-2024,85030.15892961032,73308.64213,72941.34692784907,112562.28427843579,125101.3268858388,122423.50649646156,116881.23240702033,57802.12297779982,147701.19791605618,47668.100820325926,68716.37674567565,114149.65984845998
