Category,East Garfield Park,East Side,Edgewater,Edison Park,Englewood,Forest Glen,Fuller Park,Gage Park,Garfield Ridge,Grand Boulevard,Greater Grand Crossing
2001-2005,2134.764251406458,160.5001135762627,281.24107676755824,5.397685764,1572.5274963281681,16.071180268614338,375.9026482,347.0249936786299,216.66175008282664,1218.1299016704786,943.8060644560289
2002-2006,2159.9802266201136,169.85790811658106,277.44619448830247,5.797174786619657,1668.4135363634082,21.470648870177822,343.6327061648782,377.8207685419425,222.03185485239905,959.7772432019437,1033.7302735750281
2003-2007,2098.600132552084,180.2518713,287.6506583381148,5.796956745106597,1697.3463825194788,26.077133784325714,297.60894960179974,416.8703704684258,223.8050443507215,789.3483086,1208.7645093479214
2004-2008,1833.9267732853782,172.1787869073809,279.6513718028726,5.197412733588457,1645.075495545738,24.482227292320374,210.60665974630294,419.1531293127195,220.64425848462696,624.3955638733182,1264.9167736358418
2005-2009,1626.9304907762996,174.08636888581586,259.0498763374733,4.198062063997628,1485.1209145406392,28.260938146008264,186.78747074315766,429.40036324723604,210.5246727970727,530.7497889314842,1210.3519353919348
2006-2010,1540.6652166129668,165.50569487124204,231.64873109680502,3.9979723843246546,1410.8861156188395,29.056787891041015,194.7889144861586,429.5631767000574,208.59294306790395,531.5447657822095,1192.7630497008265
2007-2011,1403.4691759133636,157.95350926303172,211.84513777797855,3.5982651116660325,1284.6781521621656,25.651121023387354,175.53448942386015,420.0450321317226,202.39104361238856,575.6533076672644,1181.1340831709974
2008-2012,1310.046934891602,141.9902774361875,184.4413312733537,4.197742873800925,1178.649557282064,20.458076524771137,149.98775132486156,376.72566751927104,207.9051576800088,565.9790444847825,1075.4098026039362
2009-2013,1355.1887031836834,144.0806544,159.0391791108058,4.197679093,1052.938278049447,17.867771042414336,138.53613118522722,355.7926544,207.0881191169419,566.1605732825954,1014.1758002562397
2010-2014,1386.3272120641482,142.17445484566895,144.83531094739476,4.597387022,969.4808339909551,12.873673274362828,122.58338265152413,326.0820276,201.3898887218878,512.1462897414392,936.8658132639747
2011-2015,1362.0647098275665,140.22179734774815,109.23773266163079,4.197726280903449,854.5597845719175,10.472378245621965,95.54020844972574,269.0272283,175.7179728914852,413.92095990568725,794.3158149006056
2012-2016,1275.3421048963064,111.90371854557375,83.22905201802752,3.597919575,751.7662833202043,8.265070837386883,82.09758415719244,209.46917877060537,144.5838412689022,312.1319645098189,628.6530557
2013-2017,1149.9594135559132,97.14701332284322,63.02192936375086,2.7985825132125814,606.7157636965909,7.850489027156489,71.83024536033508,169.61368047941298,109.67352389374182,242.9369314241695,459.4394108519491
2014-2018,961.3493596891481,76.97899169567165,47.617821180087546,2.3988166279097576,521.8414314372129,7.0291261995240255,47.83381586217028,138.94177024052607,82.88313988246087,163.29372232728682,357.6629679294493
2015-2019,798.3820640773552,57.06080036169703,32.415058664011184,1.9989404791467702,451.43327317978213,6.019612558154948,41.82631340835045,103.46497528422412,65.32557554,136.0842178032937,312.5775255219115
2016-2020,624.9574125424251,36.970715185542076,25.807711125346827,1.3992768485162523,361.2664061066252,4.211307567308043,35.20255599138234,76.29776871037433,51.499515490519194,120.86803218374172,263.94764172176247
2017-2021,521.2183761702535,28.914510428325993,19.004975892563486,0.9995470166387673,287.60818755977664,3.0115716268904755,30.162246344642334,59.25041304,44.75854910252963,109.05480803177542,227.5169305900703
2018-2022,427.9523485474545,22.86549848,15.803424822830605,0.7995434205535686,238.49074772401704,3.01204884,27.35602404657556,48.130091297628866,36.59258418,93.45130862,194.89348037553054
2019-2023,360.47727406104855,18.01005926406561,15.404772672969496,0.7994743293570536,190.13592984744176,3.016247736528163,24.33746572200896,37.01964975162652,27.898523868024085,75.04665966938846,141.46800542521385
2020-2024,267.66314622955696,9.946578145,15.803593105780887,0.5996792107504768,136.3924087927463,2.8175826433497324,13.968861297010104,27.04123289835566,21.476617976731244,42.026306046620725,92.01869004059186
2021-2025,286.93180040922505,10.115867576537651,17.2042763,0.3998701326774668,129.20431532247494,4.810867765903259,12.97492271689286,22.864356649288027,25.993455402466644,40.82303626234095,87.80040374598087
