Category,Albany Park,Archer Heights,Armour Square,Ashburn,Auburn Gresham,Austin,Avalon Park,Avondale,Belmont Cragin,Beverly,Bridgeport,Brighton Park,Burnside,Calumet Heights,Chatham,Chicago Lawn,Clearing,Douglas,Dunning,East Garfield Park,East Side,Edgewater,Edison Park,Englewood,Forest Glen,Fuller Park,Gage Park,Garfield Ridge,Grand Boulevard,Greater Grand Crossing,Hegewisch,Hermosa,Humboldt Park,Hyde Park,Irving Park,Jefferson Park,Kenwood,Lake View,Lincoln Park,Lincoln Square,Logan Square,Loop,Lower West Side,McKinley Park,Montclare,Morgan Park,Mount Greenwood,Near North Side,Near South Side,Near West Side,New City,North Center,North Lawndale,North Park,Norwood Park,O'Hare,Oakland,Portage Park,Pullman,Riverdale,Rogers Park,Roseland,South Chicago,South Deering,South Lawndale,South Shore,Uptown,Washington Heights,Washington Park,West Elsdon,West Englewood,West Garfield Park,West Lawn,West Pullman,West Ridge,West Town,Woodlawn
2011-2015,159.40204607861497,56.98338669,58.72571825742085,153.72606972113337,1018.21431586909,4154.338465,80.72577028944217,131.8034240832575,431.7552961052799,25.97271371502355,77.82901288279899,251.43760275297905,40.968125938447365,82.64144115224536,589.6184574386266,908.8502304454026,51.41816904596515,163.70242428873246,77.37298492348671,1362.0647098275665,140.22179734774815,109.2377326616308,4.197726280903449,854.5597845719175,10.472378245621965,95.54020844972574,269.0272283,175.7179728914852,413.92095990568725,794.3158149006056,35.83591598704533,147.87197949358418,2257.2689575625336,40.82511456203136,182.33763728623845,61.74420201268194,87.26282507815894,208.86717853137085,69.3315822,101.60926137885096,220.8998717599935,172.90898703698068,216.66211071883868,89.25304657,24.019352297085614,196.5663095479437,17.383732296422302,264.06413695323414,36.44790965004557,385.2116282453733,779.6398294333609,43.00146054991575,2023.5740223945447,38.273144857560645,43.873762618166765,68.6034479,40.05406681367141,239.2521041923201,45.78606938241749,80.97204162606725,333.9704655407235,918.9498951,613.7046141712069,146.43282654971233,458.4644728905479,881.6724873688901,500.0099579,338.89186510151234,346.7060957675659,60.747226474599536,1125.8708233333527,1854.8430264705205,88.98780903496807,528.7691898816696,203.46553369214996,322.27612486931446,489.1904721735491
2012-2016,126.37294507511058,51.94360121838966,46.09474982271923,119.47553957170852,793.9863267955177,3509.3674991925604,75.59160586,93.62424727346897,353.04167160704867,22.93428275488524,63.728255319145575,234.0304570253919,33.805323053746754,69.03990467709801,495.7461233350688,663.8286341821058,44.27191297681455,143.28377427667832,68.97782098832988,1275.3421048963064,111.90371854557377,83.22905201802752,3.597919575,751.7662833202043,8.265070837386883,82.09758415719244,209.46917877060537,144.5838412689022,312.1319645098189,628.6530557,27.916128614392697,122.36911546079482,2015.361291431161,23.623174325882022,137.1562015666354,55.751863763922486,63.04010760036013,167.85559020904802,57.94746114812109,80.03634266217207,182.12195318891756,139.15206905667836,172.92508776644152,75.65639767709055,21.61115757886,163.57616656211923,13.387287577922152,207.76290156397997,33.28148767155559,324.07614947684215,597.9380341912488,37.776185391326905,1878.6643791209056,35.65641617,43.06809739438093,84.81259113880967,29.035352065455054,206.6440175011188,43.87342737,72.13817063100726,265.313839,747.9485328415625,517.0251861804583,120.89281825718253,381.83708702377385,710.3144071806186,392.8099463357492,286.6163057573547,254.4853797371407,48.445428186759024,958.3024846,1824.9569106825568,71.00893998055011,422.29780872515056,166.69274890797547,242.3175129681705,358.9870272
2013-2017,96.13008411285328,42.08661660958428,36.42678754,97.6094184884668,609.9794854483139,2949.228813973312,64.05301853621928,64.03317734425919,275.2791719400586,18.5041882954818,56.40762685938954,221.72385581303496,29.229604276019767,60.63300376253561,393.1879563097359,489.0336576666004,40.6337554121536,120.87635287436494,58.37805894933109,1149.9594135559132,97.14701332284322,63.02192936375086,2.798582513212581,606.7157636965909,7.850489027156489,71.83024536033508,169.61368047941298,109.67352389374182,242.9369314241695,459.4394108519491,21.20317976,95.19350342980712,1730.713899821914,17.01607346599448,101.96560979233917,49.36319166816606,49.42975984626392,119.2329771158989,46.366027553913895,64.68284441833045,130.81493319247957,116.26638355351416,127.37684051652064,73.00441842355394,16.40566160504501,127.9968964975496,11.38954646807414,178.79462063913132,28.009739835787546,273.4318374,447.7273868712492,28.368150074854945,1764.0946386688836,30.237876160962173,38.38768578014752,89.41818607044274,22.216269857414144,180.23354144464275,37.21148653454576,60.56110665555662,189.4444137552981,590.1453209623248,425.34688467125545,106.3130248770672,313.8048824934192,533.4957534388525,271.5621498399791,225.3283255774178,193.85561624238247,36.74026939633362,797.9442966632326,1704.3407462729751,67.20090952,313.2470996634312,131.31457254114872,162.20813909643635,243.128991546848
2014-2018,71.08131329639093,33.07713230693887,28.522319978962894,75.92286311914816,488.9571308911896,2306.75520513638,52.17554028769866,50.63071843709478,225.52412854543024,14.616474215174394,44.3778462889406,193.0055528316995,26.643430126885228,55.02925664,317.7194410471628,376.6307938464191,35.68391699175309,83.64300720180249,43.78376747261715,961.349359689148,76.97899169567165,47.617821180087546,2.3988166279097576,521.8414314372129,7.0291261995240255,47.83381586217028,138.94177024052607,82.88313988246087,163.29372232728682,357.6629679294493,14.487298440355993,73.84941298281562,1529.5217948572272,10.815161779789095,73.98109333726569,34.17950067513262,31.816067056957728,86.21551436792548,37.37244655,59.09095329320207,101.58479554445286,95.56776634518228,95.4029296721674,60.973263993346414,12.405794477027811,92.78331657242911,9.391365852761258,160.11704298039194,24.927002196813493,221.92679546589764,329.0863542950297,23.96018020547723,1647.2463817356297,25.669137804054596,30.99593437965608,85.76297316304007,10.610774658790495,118.23004872378394,34.16404549079802,51.99759323035849,134.45874385917332,455.0250931222976,350.5002223122493,91.31627508,279.75169169619426,416.9468392720901,195.4406247,159.5386483245127,119.84794480764502,28.992217166285705,678.3544032229507,1462.3958546027848,57.03155393,227.5275961869571,100.72731147239654,116.83754144220812,176.48949364919946
2015-2019,55.22977900699744,25.62980488372829,20.91232573,52.955570706742726,423.7195671388213,1789.2875142047942,45.74028526742024,41.22772823282006,193.8481087636108,12.39956908,39.78536292935314,146.08560671162846,20.88665803018425,52.40598668390845,277.06749735533265,303.6033707628071,30.932638479440318,67.62780404229554,29.788526148544737,798.3820640773552,57.06080036169703,32.415058664011184,1.9989404791467704,451.4332731797821,6.019612558154948,41.82631340835045,103.46497528422412,65.32557554,136.0842178032937,312.5775255219115,9.328880436640466,55.350885696088426,1432.820528527764,10.41154050231873,56.79055149330893,26.186136340110348,17.612270992308463,62.60060070554693,31.97992885117305,42.71016252320105,82.27969522460093,96.66644985696767,72.69969846366017,49.38734211383621,10.60254115481694,69.94480063,8.989887291,151.08613946490317,24.24084759725173,206.1491104229408,284.6714285462482,21.35942814594256,1680.445850047813,20.68883021038343,22.68248508646821,93.25945054970266,8.408469786530757,87.02303081814006,33.642980954283225,39.48308373098914,98.36004831168532,357.9194694065351,266.01378260144264,67.19966757,257.0991282441466,340.3479884886984,107.71936338191408,128.68056126660642,90.24187761,26.60173615398517,559.3409321510126,1387.680853,44.47349362710632,176.86457540869145,81.54086623556036,99.4460252293578,138.4343542995371
2016-2020,43.96697295197779,18.59378802017803,14.048435213046064,33.34102972941212,327.3349198723741,1303.443019144514,36.87466276898866,30.22304203941888,155.55918797590206,11.293411601803632,34.250531598195536,92.52409182632044,19.09555425704962,43.20630061,231.3211385741973,217.5707329653241,24.61455610294362,59.81281908036989,18.994614227772832,624.9574125424251,36.97071518554208,25.807711125346827,1.3992768485162523,361.2664061066252,4.211307567308043,35.20255599138234,76.29776871037433,51.4995154905192,120.86803218374172,263.94764172176247,6.5515872606951975,44.23934564,1343.557695540792,10.007137884406282,40.99172446249982,15.99207632330337,10.410273012207073,42.59583464829099,25.181288413414823,30.92473236472821,66.86636969671916,92.39796161,58.57723838249541,33.81128382122676,11.202375302701409,49.35478318088244,8.589913166,121.95127138706287,24.33407364648734,170.29928298585477,215.1052546720354,16.96814455590969,1533.4404693201843,15.125892568200491,14.897004471013949,103.51911915496032,5.807783833721111,56.81497771253063,27.801744410871297,30.734970851897483,73.21063276015971,286.51379586227137,195.2852513788324,52.41698656946153,215.0833505060039,262.0610184027566,67.39904660526503,91.10272128655708,72.63983803402373,20.24779359,434.1526562375474,1195.894494287216,37.08102864000084,137.82775053656303,59.96067004322525,70.75778333017516,112.78497575162912
2017-2021,39.10323841580737,12.753948169487598,11.49542753445628,26.01128162269575,282.94978436356257,1005.2987164785694,29.96479943563066,26.00854348622005,144.12662609520424,9.644329220956973,28.84064804340208,63.75693944527961,16.908429900776177,37.603733847501566,192.4769935914896,188.1771003490264,21.39401771305308,49.80642751428197,13.796399464111357,521.2183761702535,28.914510428325997,19.00497589256349,0.9995470166387672,287.60818755977664,3.0115716268904755,30.16224634464233,59.25041304,44.75854910252963,109.05480803177542,227.5169305900703,4.9635056856964095,38.01597896541366,1265.7137527920777,8.606900780377645,33.192740956224235,13.591998502968476,9.808427718221491,30.793682854001418,20.384270803163545,24.553201505930947,58.44049164172129,84.45788224123444,47.59338195277753,23.412428746035857,11.001325571577215,43.36125678,7.392087979958911,111.00286163135912,21.92620685760179,144.28117571705806,169.02638186618685,12.387325405362498,1362.3268902567413,9.758394734694278,11.21706182062419,76.01475574177839,4.608612569491967,46.20952182071687,24.163106483786592,24.94871467600387,64.21599423211828,226.80002109809283,156.5407635279311,42.43344530977016,189.75278520328075,223.08194517831112,50.159648354320815,74.79122119629352,56.64266248926728,18.852365759516868,353.09312232207714,1024.8170600886365,29.10654071285158,112.34911450079228,46.56691536253501,64.48442604423134,93.05133663282407
2018-2022,43.07014302564495,10.3502944544077,12.10829184981349,21.72448679978678,220.6530042812853,809.1931080657926,28.569483005679864,25.00237323531068,133.73462488157625,8.845267711445983,23.429777533486217,46.75020032134175,13.33127509410646,33.40010131112476,161.12640437714765,159.66363982373292,15.558114102282264,46.0065180825662,13.198756786712238,427.9523485474545,22.86549848,15.803424822830603,0.7995434205535686,238.49074772401704,3.01204884,27.35602404657556,48.13009129762887,36.59258418,93.45130862,194.89348037553052,4.162306996357772,37.40271345833384,1142.846502671364,9.007395642158649,41.78735576,11.79133362136749,10.408677186635671,26.99351718329225,15.988092925583777,20.1585149733504,51.49261034638336,80.25054334325283,46.97216878338012,13.418052017507016,9.002793992110934,40.55939653828963,8.788919785843458,107.61100378452622,23.107544078522103,134.3303009,132.11214731937366,10.00053945861686,1118.9615585966633,8.179293859458545,9.104584708044722,55.79942045704666,5.008178628,41.60995933555552,18.74100267736874,18.771104142837466,63.02166657270165,184.85587722890725,124.98649922574836,34.657377911239536,167.06965069990517,198.44510133533296,40.91903768119947,66.43284088881644,51.63743374288687,16.466608436876115,268.93217336974345,896.8126819834741,20.546629094050736,93.06340857066157,43.57601658865957,63.17533389,77.83366098585896
2019-2023,41.65730326179588,7.296877476970703,11.663502043088592,16.468393836863186,158.28251245842242,631.0391938355951,26.358417132203577,26.99804431445133,115.54426391411911,8.763531937217607,21.62970528012496,32.24351444,8.550531594219017,25.601135985856818,130.07987719458418,136.88287506862548,12.340373004585173,45.41631165624904,16.994169160344544,360.47727406104855,18.01005926406561,15.404772672969496,0.7994743293570536,190.13592984744176,3.016247736528163,24.33746572200896,37.01964975162652,27.898523868024085,75.04665966938846,141.46800542521385,3.565783224811315,30.68668999682089,975.3502490670468,8.606213767052632,39.98922650923729,11.98703194223377,13.606908998611823,23.79834712,14.388238558778667,18.17548979187877,45.47267531445805,89.29180996681339,41.583704157274525,10.6183116,7.002314341777012,34.99065645229727,9.188524512194553,116.84524197004868,24.783588409008065,122.36191323182034,107.01752926267702,9.404658174675658,811.5506617510733,8.580231828,8.099157251094457,48.60522659718959,5.606298677369831,47.209794250936525,14.70919503390155,12.55974338708294,62.814559885659165,143.16000089466974,86.03014733,28.297190103193127,128.81722189203202,157.03245923098874,36.59975120615705,62.304751621149705,47.22671023,14.471889000237848,209.24967865361296,779.9808762043741,13.370951704082552,73.10886114111374,42.56959345762588,62.39634937312799,56.16643488404237
2020-2024,36.06132406568475,5.687970392171178,10.28643332065683,11.436080607897718,93.96539954,515.2760839393904,12.892162372784984,21.799202840594702,88.21655942860268,6.937657491001111,15.848484958552788,17.432947215733964,3.9742144118671137,9.406230543257305,78.51275022873682,121.90765801039493,8.156343688126693,38.21012262,16.19367884181433,267.66314622955696,9.946578145,15.803593105780887,0.5996792107504768,136.3924087927463,2.8175826433497324,13.968861297010104,27.04123289835566,21.476617976731244,42.026306046620725,92.01869004059186,3.3626709111606683,23.664471231698748,817.1615596062408,6.206206398462561,36.98714694293542,11.385750066418076,10.40393254,21.403710784058624,9.590701050777032,16.378593310244653,35.199208561107994,116.8083961619896,33.24922523883296,9.219900234158365,5.802736756754459,29.99614635235652,7.191095754189169,114.46403316225827,31.53330059006205,116.3342612774922,62.24988409238728,7.407655939265116,482.5305556947657,9.973894137979864,7.505790345107123,31.55292969032196,4.403284919685503,48.40794984,10.066866765499151,6.386805687388707,55.94611475936619,105.95314304740998,42.481711569148665,16.537112231802446,77.86132723244415,92.28664279181557,30.922281375921603,47.741032094890734,28.816588255787657,9.519867486,163.01132169600163,542.0364451953745,10.578157875643877,56.04960866812158,33.77064659645401,58.90549286520939,33.44743361102401
2021-2025,31.081330644554697,7.512967433,11.047358916214582,8.625232371392448,85.61710315278556,565.5803291059759,8.192087116763886,18.60349784599283,70.63415203603411,6.740883257587787,15.10152851031812,13.861634536843235,3.1780970237455297,7.006195085133076,62.70552169487603,135.09244501789806,6.972349812,36.414132666681866,16.193993431249122,286.93180040922505,10.115867576537651,17.2042763,0.3998701326774668,129.20431532247494,4.810867765903259,12.97492271689286,22.864356649288027,25.993455402466644,40.82303626234095,87.80040374598087,2.970984977717656,18.25370973442992,836.3765726625527,5.406275837419453,36.79125069218666,13.38374547127953,12.003774464579196,25.003969302525384,11.389808406539329,17.38445982324075,30.47603904421697,150.81752459734125,29.10012777834916,8.215107543,3.602276685997598,29.797737263831056,4.993695452145866,117.88204828387268,41.34206831953277,125.43655563790624,53.266958641386026,9.1982678,540.3313817,11.94825006559281,9.017990589172369,17.170981899453874,4.005856999502864,56.406583431575214,9.257239982463368,4.400766337402871,60.87564687319646,100.08983429663994,40.09952149577662,16.352523769796626,81.39038263,79.61410946474265,31.801695992360816,48.94646608843413,30.41177957650736,8.925017574226448,159.5199039865155,461.4320222055759,8.980426306964299,51.470947522356525,28.772115585312388,61.57148369,33.24040085382764
