Category,Albany Park,Archer Heights,Armour Square,Ashburn,Auburn Gresham,Austin,Avalon Park,Avondale
2001-2005,1283.706898,703.1786467,659.0452948,1241.74998,3446.847916,5602.622481,740.5404066,1906.109807
2002-2006,1245.325661,701.0827739,634.4072081,1235.391915,3412.971334,5431.040433,740.3936823,1777.062348
2003-2007,1193.103576,695.0650501,595.2339365,1247.292086,3425.564735,5380.962936,732.6342869,1667.264902
2004-2008,1140.535612,672.7043617,563.800111,1290.737619,3413.737167,5306.87067,737.404944,1531.667892
2005-2009,1130.374679,659.9118141,519.2513478,1282.472346,3275.308017,5295.942299,704.5813062,1428.888451
2006-2010,1118.374447,633.9023993,498.258572,1253.198875,3179.059579,5290.764677,686.9204613,1416.876187
2007-2011,1098.422224,616.1870066,478.2583691,1215.402178,3162.198124,5331.446104,686.2744421,1414.122865
2008-2012,1093.375686,574.4988671,518.1744909,1155.24407,3019.062458,5330.801962,678.620567,1421.3261
2009-2013,1047.136253,572.6258642,517.5436327,1094.83417,2853.697407,5156.615127,638.6814937,1381.953887
2010-2014,972.8549998,534.6163882,530.503912,1032.965887,2744.836924,4779.375023,609.2917065,1276.170381
2011-2015,919.6132405,495.4325483,494.8782418,944.4968643,2570.362151,4370.101082,554.1203164,1149.4344
2012-2016,870.0730601,455.6487771,457.7007736,921.9859349,2375.395004,4016.746894,477.8930954,1050.021153
2013-2017,853.9749556,424.6486824,410.2093207,881.3012839,2231.365485,3657.685195,420.3940731,967.0523407
2014-2018,834.4014409,370.9676739,388.0847111,814.8851316,2106.329397,3444.651739,368.8674714,938.4350249
2015-2019,835.8801236,346.3414312,360.5248191,776.5889797,2001.211773,3388.503081,340.0589918,914.2345395
2016-2020,784.9395224,321.2072533,344.8076554,735.9345032,1877.212826,3284.495088,330.3482978,862.4359709
2017-2021,731.6892692,290.6008272,341.5596811,626.6903233,1743.868639,3057.481638,310.3268172,784.4647411
2018-2022,674.1434866,290.0289052,350.6526972,585.3002072,1724.083563,3068.145807,313.358671,752.4370229
2019-2023,680.7851092102436,296.91246541976415,363.0712286150036,626.9455872529736,1782.938835279096,3072.2922925737903,330.3121793574535,744.0511353
2020-2024,688.7705271282476,334.3692720837993,370.2301160897642,669.9971601320424,1747.331954771411,3073.5952494485364,345.3305717316226,810.8454092988267
2021-2025,701.6497771427203,394.3325065930426,397.92136506015214,692.8470936406434,1788.3563249982033,3156.105793037169,349.5343111462215,888.224357
