Category,Belmont Cragin,Beverly,Bridgeport,Brighton Park,Burnside,Calumet Heights,Chatham,Chicago Lawn,Clearing
2001-2005,3206.230627,717.0224905,1079.111961,1524.524332,180.1002668,823.5177451,3319.129752,3127.696952,776.509041
2002-2006,3067.181429,690.653041,1047.195638,1505.333237,187.4268698,796.1645839,3170.716766,3080.795771,718.2435439
2003-2007,2928.70925,647.9677718,994.4287942,1426.675515,189.4356843,809.1469269,3115.435332,3057.691717,694.5394889
2004-2008,2833.331816,658.3707422,945.9387714,1367.858845,199.9524139,785.5922136,3016.215614,3017.065941,670.6477344
2005-2009,2800.913611,630.0668965,924.5376737,1297.334191,192.5919192,755.3805507,2875.965328,3008.075636,625.9102752
2006-2010,2760.067435,612.6491818,891.4192111,1264.939249,186.2285986,773.3429867,2737.477502,3007.500138,593.290529
2007-2011,2734.081846,603.5163017,838.5580456,1239.968635,175.3118232,809.4841597,2680.661657,2988.744359,582.3448047
2008-2012,2652.94051,583.3661306,842.627265,1217.927017,181.0495819,816.8967052,2550.571511,2886.94338,555.9129618
2009-2013,2519.314915,520.6386964,798.6622634,1164.190492,168.9131646,784.6951753,2406.252392,2712.981271,502.6711218
2010-2014,2270.796763,480.2565489,754.8190438,1107.130092,163.7236339,753.312077,2256.247537,2498.295121,467.7481806
2011-2015,1996.590219,450.3032908,700.9624114,1019.675197,158.9266076,682.9562696,2089.591079,2193.626565,439.9374723
2012-2016,1809.942381,419.745627,665.2812201,892.1366159,149.5556439,582.81519,1931.008153,1930.206138,414.9320828
2013-2017,1692.05829,384.7175383,613.3785872,786.5153776,123.1436622,505.7884918,1875.515833,1754.323545,390.7864055
2014-2018,1553.148865,377.0741261,572.0763778,711.2304006,104.6609395,460.9681566,1806.675739,1654.683588,384.2026332
2015-2019,1500.754778,375.9629122,530.6442296,656.4549049,94.73030585,424.9572883,1792.750938,1576.324354,364.6037495
2016-2020,1426.895966,344.8243607,484.9039678,597.5498881,89.76421526,397.7525553,1742.487235,1506.255978,342.3935595
2017-2021,1301.814475,311.2142294,440.4496058,536.1396734,81.62431476,366.5357787,1637.31193,1374.110484,311.981922
2018-2022,1240.999784,307.9761843,440.5693323,539.4581755,89.15914977,373.3563788,1636.566226,1338.471401,318.629374
2019-2023,1270.079591202178,316.91733222497595,464.8540819,527.5360308953299,105.75764004607932,412.8164736422387,1688.3329180028218,1303.962668263081,347.83655280984067
2020-2024,1320.128724838159,352.89616616280347,492.6964447241775,547.7126124,106.16711323720858,439.1958167078898,1693.7899145869062,1277.392487570217,380.87564643597216
2021-2025,1391.2327764025922,376.2839817484205,541.5283324535869,584.5921736039003,106.76344801123864,468.9744059816924,1764.1075502879469,1266.4468456965824,407.1033290808098
