Category,Washington Heights,Washington Park,West Elsdon,West Englewood,West Garfield Park,West Lawn,West Pullman,West Ridge,West Town,Woodlawn
2001-2005,1455.752897,1120.848144,607.6630828,3005.030134,1310.532194,1713.537839,1609.016596,2128.518634,6082.001474,1742.205839
2002-2006,1473.063509,1118.64274,601.0424989,3028.231905,1349.354038,1619.248709,1596.733395,2179.8989,5915.821971,1687.597374
2003-2007,1477.460095,1133.032833,565.1925948,3146.383851,1394.138515,1506.107687,1643.461249,2105.767264,5677.203048,1739.288141
2004-2008,1514.708664,1092.84032,535.7016772,3172.361799,1431.282077,1446.008623,1715.232541,2086.979604,5563.1972,1732.461078
2005-2009,1496.526479,1046.853275,520.8664959,3183.428739,1399.130985,1371.45835,1766.519579,1969.805412,5434.395884,1738.692887
2006-2010,1495.825263,1033.033455,517.6546513,3201.350847,1374.991476,1326.331533,1751.25507,1871.688838,5468.848673,1672.01063
2007-2011,1483.387296,996.0343832,514.0724514,3173.967971,1290.474277,1294.591519,1731.925524,1759.186502,5351.738085,1605.867378
2008-2012,1421.522901,962.9977211,506.4911888,3038.50278,1284.471852,1261.059292,1689.334719,1710.201229,5221.397929,1496.468544
2009-2013,1347.478794,955.7388553,499.9175526,2848.862821,1209.942791,1180.052727,1576.910571,1621.450392,4889.556088,1394.415133
2010-2014,1259.254417,925.4864122,461.2161761,2609.786277,1154.772635,1112.086595,1427.250517,1500.143353,4570.69528,1266.246197
2011-2015,1133.564279,863.4429389,430.0319184,2286.429166,1048.400739,1061.081815,1285.402876,1343.400658,4181.003599,1179.85542
2012-2016,1028.328533,790.8087563,406.1959123,2010.30165,995.3824847,979.8096983,1137.066857,1218.261186,4038.940823,1092.888856
2013-2017,966.4875525,737.5968969,381.7947735,1776.916343,903.6471033,892.5540523,990.5609879,1170.139088,3929.25059,1039.721799
2014-2018,917.1301346,684.59999,356.9476221,1608.356204,872.0433576,828.5711437,901.451071,1135.742161,3782.973627,961.0382481
2015-2019,896.1421743,637.004649,341.0599968,1526.605207,875.5813397,755.2546403,851.0465171,1138.768215,3716.013973,923.4870448
2016-2020,867.7577527,589.7975215,306.7590504,1456.201066,885.5246001,657.5879017,850.8763296,1143.76565,3494.214621,867.1985061
2017-2021,807.3545227,536.3665449,263.321541,1319.855931,830.9221508,564.430908,836.4119083,1115.752418,3147.372914,805.0891292
2018-2022,826.8890474,541.3410206,247.0600942,1267.732502,808.1250659,544.0298961,864.5369708,1138.479737,3017.853441,810.07193
2019-2023,873.2077784186416,568.9574826098827,265.01852437405694,1187.8088839791528,785.1236678521869,536.3055643007041,913.6230722071646,1207.7706812817405,3149.3478278607963,897.8572064429703
2020-2024,878.3559403207512,607.5530548931957,270.98431220970616,1129.187203226799,742.2072583629837,583.5129038109482,945.4689131847504,1232.5262551648202,3319.042043284895,965.9778946481316
2021-2025,915.6912011,653.1660382837064,281.50363907543937,1092.850285315507,709.6646948445203,644.5029922692067,946.7212744054424,1270.2851663931465,3546.260166085361,1062.198842
