Category,Douglas,Dunning,East Garfield Park,East Side,Edgewater,Edison Park,Englewood,Forest Glen,Fuller Park
2006-2010,18.74827081,7.601426747,17.11271627,15.66540927,8.376030016,7.385291131,21.5167503,5.724164324,42.62355912
2007-2011,18.1255172,8.045921801,18.99812486,15.52112171,8.506238896,7.095414192,24.5861665,6.490694326,36.04809926
2008-2012,19.0556519,8.898780917,21.87668917,14.12218387,8.713651712,6.800426721,28.65538736,6.911040843,35.82141706
2009-2013,20.63947342,9.352642959,21.59789973,17.09211312,9.090185092,7.194219247,35.37886675,6.319952917,35.8676316
2010-2014,19.17356777,8.590583288,20.44671855,18.71664235,8.405086514,6.602854126,37.27861853,6.201899446,38.3908852
2011-2015,15.93444738,6.740040593,19.98979782,16.15005787,7.6167521,4.953062426,36.97633878,5.821925037,32.53474093
2012-2016,16.00221491,5.337868392,18.684724,17.49695198,6.78300919,4.117257063,35.54328851,4.552057997,28.94181758
2013-2017,14.24461929,5.024875898,19.21330793,16.1070333,5.908841458,2.715778873,33.85353748,3.282406126,32.07107008
2014-2018,13.25328177,4.463456274,19.18631084,13.86922279,5.431179292,1.965108604,26.20618577,3.83632326,34.20054385
2015-2019,12.34921568,3.560239018,17.54369719,10.02938234,4.933773043,1.558687085,24.47248029,3.178903674,25.14322158
2016-2020,15.37866061,4.353224307,19.09206315,8.053499368,5.548526618,1.830499416,25.12523074,4.718917342,24.82484983
2017-2021,16.34140627,4.894008255,20.28877358,8.017101827,6.336742411,2.229856551,24.71014726,4.391515008,32.51873932
2018-2022,14.45304423,5.160218872,17.15738462,7.395193066,7.390863855,3.226065512,22.37481505,4.536269415,32.710074
2019-2023,15.08257049,5.414150284,16.80183284,7.899055896,7.232423642,2.564102919,20.25547911,4.399840301,21.74616741
2020-2024,16.75969608,5.326392164,18.38435536,11.03781989,7.978021398,3.379030512,22.9718441,4.049506948,22.29072733
