Category,Albany Park,Archer Heights,Armour Square,Ashburn,Auburn Gresham,Austin,Avalon Park,Avondale,Belmont Cragin,Beverly,Bridgeport,Brighton Park,Burnside,Calumet Heights,Chatham,Chicago Lawn,Clearing,Douglas,Dunning,East Garfield Park,East Side,Edgewater,Edison Park,Englewood,Forest Glen,Fuller Park,Gage Park,Garfield Ridge,Grand Boulevard,Greater Grand Crossing,Hegewisch,Hermosa,Humboldt Park,Hyde Park,Irving Park,Jefferson Park,Kenwood,Lake View,Lincoln Park,Lincoln Square,Logan Square,Loop,Lower West Side,McKinley Park,Montclare,Morgan Park,Mount Greenwood,Near North Side,Near South Side,Near West Side,New City,North Center,North Lawndale,North Park,Norwood Park,O'Hare,Oakland,Portage Park,Pullman,Riverdale,Rogers Park,Roseland,South Chicago,South Deering,South Lawndale,South Shore,Uptown,Washington Heights,Washington Park,West Elsdon,West Englewood,West Garfield Park,West Lawn,West Pullman,West Ridge,West Town,Woodlawn
2006-2010,9.055268545,10.66185985,15.32574214,8.859866048,23.42093971,19.44255436,16.47942752,8.657749132,11.67646075,7.567937095,10.63218059,12.2926165,23.42464598,16.42559134,19.25513433,12.57700221,9.261584102,18.74827081,7.601426747,17.11271627,15.66540927,8.376030016,7.385291131,21.5167503,5.724164324,42.62355912,13.90887054,7.940755919,19.90564329,19.21179696,9.256523762,12.53032796,12.15180121,6.938044685,10.2214574,9.135913189,11.48499136,4.82046696,4.032340688,7.617515124,7.065707947,5.702867518,12.22917794,12.13891679,10.95605889,15.24915872,7.976990952,6.006621812,10.68314564,15.47943553,16.94294063,4.111615541,18.43057905,5.435639859,7.41991842,3.058030643,26.42290038,10.45705625,24.64871416,26.79965861,7.666316732,18.4808863,18.08254133,9.690509032,11.94580673,18.07181799,7.320906829,18.66247695,19.87579075,13.52632516,32.93519673,25.60307044,7.560136904,16.7544251,7.514038285,7.226260107,15.91587905
2007-2011,10.10548704,13.14977014,17.23026904,10.3177891,25.53468685,19.87427935,16.10249109,8.958937714,13.20902312,6.864888502,13.17975797,14.13576607,19.55415183,19.59331816,22.09846181,15.48738555,10.73089635,18.1255172,8.045921801,18.99812486,15.52112171,8.506238896,7.095414192,24.5861665,6.490694326,36.04809926,16.67529178,10.53849466,21.75827717,21.14717711,11.0501258,12.10242635,14.4159069,9.266988836,10.17708735,11.3455152,11.64901698,4.812966938,4.624329576,7.762749831,7.512111291,6.944342811,14.74150056,13.63800506,12.30196034,15.22722389,7.790361886,6.82480718,7.232712953,14.25634499,19.0278401,5.14807699,17.71177418,6.71948963,8.067920405,4.56890023,30.31390055,12.00731761,22.73339355,35.62999176,8.283123226,19.3688954,16.80830323,14.17596255,14.0425856,19.16524115,8.091782077,19.70223808,23.0444957,16.66245051,35.04670472,25.81164216,9.623805909,18.50660987,8.902620309,7.989300791,19.35056269
2008-2012,9.796738615,14.26253928,20.39787038,11.75365012,27.70417886,20.78548454,21.27855719,8.772468704,14.24550451,8.013555311,13.14769517,14.95076574,18.55419707,19.42429853,23.28032689,17.9180685,9.284392013,19.0556519,8.898780917,21.87668917,14.12218387,8.713651712,6.800426721,28.65538736,6.911040843,35.82141706,18.3277643,11.28815777,23.24274838,23.36775656,9.365490164,13.19359494,16.94634106,9.643570001,10.22234478,11.94135861,15.86474566,4.899851164,5.165133389,9.981847146,7.800958621,6.911452011,17.75133411,13.63087829,13.95014865,14.83719058,9.383561965,7.707866363,7.886533516,15.33351255,23.47885278,5.363808872,21.37517105,8.738808941,9.090986931,6.596113927,28.25303054,12.36414775,26.92843776,35.13099251,8.923290301,20.61644137,18.01994983,18.36575064,14.22637419,20.07718798,8.944082384,21.47593418,24.93439151,16.64514928,35.5450708,26.16291826,9.602602166,19.67709956,8.398921105,8.523092769,21.52140399
2009-2013,10.87959671,15.56043154,20.51208635,12.70488394,28.3103805,21.439083,22.00602498,9.242288223,15.46539772,7.501420493,14.47374412,15.75451043,20.02865652,21.19568297,24.14423666,20.89859947,10.20705647,20.63947342,9.352642959,21.59789973,17.09211312,9.090185092,7.194219247,35.37886675,6.319952917,35.8676316,18.68183456,13.14837267,28.71398936,24.57493205,9.390964679,14.01496147,17.00094462,9.2551573,10.82882726,12.27442794,15.45003705,5.016442566,5.308320513,9.306762136,7.332704227,6.802239829,18.07925261,14.48446603,14.63033325,14.65410248,9.283182684,7.166092357,8.265071116,14.90259735,23.89878839,5.562615935,23.45857057,9.121935768,8.793518953,7.372133372,28.6180282,11.97517415,26.27634531,41.67649917,9.892041112,23.56690641,20.420442,23.54376282,15.63815801,23.14278334,9.296420055,23.14869535,27.08585378,16.76359715,36.8131066,27.92483338,11.5495943,23.41204488,9.767855394,8.097253363,22.17148247
2010-2014,9.582409287,14.8336602,20.16305964,13.04592613,28.63747377,21.05664204,22.68422106,8.429976035,13.9815918,7.293651749,13.36167935,15.76351531,16.16208099,20.79688352,22.19577619,23.38304244,9.78276375,19.17356777,8.590583288,20.44671855,18.71664235,8.405086514,6.602854126,37.27861853,6.201899446,38.3908852,16.15219667,12.249749,26.64525784,27.58271274,9.040007428,12.42869856,17.7251844,9.195681649,9.207415405,10.15524462,14.28449511,4.423214053,4.819502117,9.063376424,6.543406275,6.236999533,16.53431945,13.96843836,12.6195721,14.77124374,8.986942546,6.399972623,6.332916949,15.2715396,25.45481778,4.930702778,23.77527277,9.304418952,8.290549837,9.851302245,28.04162756,11.71482795,26.86076188,39.75677519,9.283440076,24.57435881,20.85272335,24.55919425,14.98063079,22.59385386,9.370494973,23.44861706,26.12746952,13.45120917,36.48649022,20.45100656,13.00922921,25.55716042,9.795732772,7.85239964,20.09340289
2011-2015,8.829778892,12.94885312,20.49755857,13.34904232,26.50078762,18.618391,22.56022408,7.838555003,12.06328477,7.017776201,11.63586295,13.17071805,21.49284258,16.76708904,19.76310494,24.04937388,9.890438241,15.93444738,6.740040593,19.98979782,16.15005787,7.6167521,4.953062426,36.97633878,5.821925037,32.53474093,15.75182899,11.56714063,24.50351919,27.05536951,8.997240879,9.899521939,17.7984549,8.738391462,6.846257653,9.984203806,14.54647907,3.898434854,4.197432896,8.266340656,5.524101161,6.253394392,14.40240212,12.97943774,11.30850441,12.46417096,7.522358296,6.179142459,4.784303442,13.97262367,22.07181272,4.709502133,22.1689327,8.648045042,6.694399118,9.593585801,21.46158845,9.26521717,20.6464791,40.17296083,9.607125865,25.13796838,21.70944188,26.38351279,12.69403381,22.01263794,8.88047793,19.9263667,28.33782811,14.92625758,34.18209492,18.26278059,13.49779099,26.40285664,9.061179687,6.686209709,20.49627245
2012-2016,7.592916972,10.54340588,17.2533728,12.42938339,24.3348271,17.04073644,24.21125918,6.070592072,10.44246653,6.40990941,9.919181439,10.71152393,18.37531386,14.12678287,19.05092864,24.52072927,9.540567367,16.00221491,5.337868392,18.684724,17.49695198,6.78300919,4.117257063,35.54328851,4.552057997,28.94181758,15.98131959,10.19997626,23.05825721,25.45599808,6.623293117,8.721375411,14.93173056,7.797757407,6.2605301,7.503843108,12.89773301,3.224348622,3.661260029,6.868009381,4.748506222,5.920283579,10.1895645,12.08347197,7.470824698,11.9945611,5.19572344,4.490649099,4.592362029,12.79852218,20.28775062,4.437167036,20.64210056,7.390087169,5.409581355,9.060468542,21.20634486,7.814533565,20.91289313,37.1152137,8.504513573,25.61300784,23.10774016,24.01873506,9.10874373,20.75144384,7.395400279,18.42690292,24.14980374,12.41090252,33.10467564,18.65676905,12.87302923,25.31328149,9.2774555,5.385399792,16.6217485
2013-2017,7.100631537,9.666280765,16.39581567,13.3340186,21.63905571,15.06084309,17.86922629,5.31885958,9.062709164,5.986219803,8.783496082,9.766504287,22.31022668,12.6326047,19.24727234,24.38302038,9.577198031,14.24461929,5.024875898,19.21330793,16.1070333,5.908841458,2.715778873,33.85353748,3.282406126,32.07107008,13.91416233,9.924672013,22.20378097,24.35403296,8.451438113,7.292238808,12.43111568,7.227823176,5.615604157,6.09067861,9.962099529,3.079066262,3.234392545,4.175240386,3.790810219,5.424005176,7.496218572,11.41601996,7.716609611,13.07836978,3.506885856,3.541856075,3.367694048,9.943240263,17.21346965,3.865881788,18.2485205,5.772998452,4.033203751,7.647087081,22.99362104,7.048682718,18.15138082,34.6883467,7.419523282,23.9161602,22.3972154,23.58048364,8.863724187,18.33121583,5.635729707,17.86109133,23.1421214,11.66885192,31.12585774,19.8248913,12.52684742,24.72418476,8.517504298,4.802143652,15.18537485
2014-2018,5.499128771,8.379392792,15.31645547,11.82336577,18.80344033,12.89713541,16.33903132,4.527831235,6.908613445,4.213917761,7.915351164,8.96297133,21.94121457,10.76293168,16.7525422,23.86479868,8.710759435,13.25328177,4.463456274,19.18631084,13.86922279,5.431179292,1.965108604,26.20618577,3.83632326,34.20054385,12.60441868,8.416480052,18.90213246,24.31942363,7.481116647,6.190414037,12.24958241,7.81911218,4.083061023,4.798230708,8.234848581,2.887066005,3.075777952,4.226639665,3.628851351,5.813869065,6.091036791,9.705091522,6.594471811,12.10942436,3.826827507,3.097002028,1.53448527,9.597217014,15.89967101,3.45896234,16.45827016,5.660225326,3.480262245,7.787594672,19.50660722,6.294610912,18.03124749,33.73352527,6.702233813,21.86589016,21.26011527,18.69252466,8.538968649,17.14230171,4.543365926,17.87982862,20.52718931,10.92509219,29.21128446,17.78405988,11.97434498,22.96170445,7.747410765,3.909432136,16.49080203
2015-2019,5.177424607,7.677385298,12.86972225,11.10553817,15.93455311,11.93201506,14.55867987,4.326133566,6.166630056,4.418617698,6.839059483,7.91818712,20.12727786,9.083220288,15.34509234,20.88144888,8.746141136,12.34921568,3.560239018,17.54369719,10.02938234,4.933773043,1.558687085,24.47248029,3.178903674,25.14322158,12.98805864,8.874807178,15.37320626,21.90038855,6.122575678,6.216310561,11.78842925,7.816046587,3.856394973,4.520262782,9.577575308,2.801458288,2.736089684,4.153887863,3.171140327,5.613862931,4.872923391,7.542144373,5.620317382,11.29581453,4.100417284,2.64779676,0.709945356,8.386220697,14.35052837,2.767528877,14.40975391,4.521950774,3.189471942,4.411113029,15.40953844,5.486819815,15.89339714,30.87837564,5.428146166,20.13868183,18.23604461,16.12880624,8.700743964,16.29979256,3.572312831,15.67818077,21.92982413,11.05250712,27.01935316,20.28866927,10.87466091,17.13495311,7.198650177,3.51827167,17.7055021
2016-2020,6.632342255,8.777513856,7.508788299,10.5100465,16.67888539,13.52717509,15.74907444,5.044909271,5.060317033,6.173195251,6.823709002,10.61812509,15.92549062,7.388587525,16.35423652,17.45930084,10.58037941,15.37866061,4.353224307,19.09206315,8.053499368,5.548526618,1.830499416,25.12523074,4.718917342,24.82484983,16.27583335,8.120222446,12.77350173,20.06236731,9.922272413,6.120711221,11.18019549,6.311075783,5.938542209,4.443129103,11.63821413,3.231086875,2.9914986,5.600340471,3.362638447,5.442729591,6.465815482,6.204295723,4.076919408,11.17812557,4.445248034,2.590279492,0.79213236,6.831084876,17.10573441,3.227661997,17.19398313,4.825039599,3.804494662,3.819610567,19.81981883,5.448581569,15.69021873,29.83090862,4.582069696,18.75964647,16.47747969,17.41094402,9.089852864,16.66130625,3.436467734,14.69664243,18.69145003,9.598484979,24.63861203,23.91941134,10.5659447,20.385339,6.534236706,3.463637044,17.00023183
2017-2021,6.666051739,11.40344989,7.952565941,11.87710116,19.56297551,13.75681153,13.46870301,5.01250923,5.366107536,7.778993962,6.440177143,9.627386921,21.45450498,9.139810303,14.32516402,18.15504173,8.479568901,16.34140627,4.894008255,20.28877358,8.017101827,6.336742411,2.229856551,24.71014726,4.391515008,32.51873932,16.20904179,7.524934028,14.70779136,19.29975263,11.31368591,4.781529634,10.93553548,7.905572764,6.445245501,5.730528408,12.17223928,3.861992159,3.489573083,5.865554326,3.78858402,6.294112267,6.343332772,7.491057324,5.362294047,10.65424841,5.483331149,2.747999534,2.039007711,7.07704747,15.37761684,3.658630109,17.89954194,3.579562834,4.461458641,4.767932243,25.67710604,5.617816301,15.38311681,26.290461,5.090518738,18.7057973,16.95829249,13.51342207,10.48448589,16.96990763,4.307893333,14.77655496,20.84431992,10.28330786,23.31924678,22.69751365,10.3934167,19.40199683,6.662869942,3.498309222,18.51406061
2018-2022,6.426612271,13.67570787,8.047964958,9.934491273,19.39206312,14.50406366,12.11918682,5.670223922,4.516766399,7.554829761,6.734385125,9.677438738,16.21636856,8.241089241,15.21563053,17.84420803,8.349821336,14.45304423,5.160218872,17.15738462,7.395193066,7.390863855,3.226065512,22.37481505,4.536269415,32.710074,15.68079158,5.202227681,14.50001848,16.94771464,10.99322305,5.502811081,10.48914557,5.981646579,6.000298467,5.959054974,10.8529674,3.68886087,3.667269435,6.109402777,4.37168085,6.174149347,7.526146738,8.08251564,4.176817737,9.018792595,6.093179729,2.782358315,1.984626557,7.020788644,13.60325368,3.634805964,15.00826739,3.746121304,4.030903836,4.454633408,21.67249327,5.357157001,13.32056625,27.4141484,5.730761428,18.84382753,17.14722289,15.23470762,9.947041785,16.82051255,4.643744109,12.60525426,15.83214044,10.35769965,21.79313401,20.72445422,11.44118812,18.65481109,6.535238126,3.514941567,16.14081923
2019-2023,6.504810693,9.581834436,8.775562679,9.334303521,17.79970672,14.623578,14.36370086,5.337307324,5.012924206,8.470131398,6.121774216,9.179231406,18.6107973,11.67117345,17.26527156,14.35003837,8.512065856,15.08257049,5.414150284,16.80183284,7.899055896,7.232423642,2.564102919,20.25547911,4.399840301,21.74616741,12.95506389,4.333873266,15.57360665,15.42690611,10.91623738,5.780764747,10.3194547,7.250967386,6.225681158,5.362913613,10.395491,3.392707365,3.766018105,5.516879993,4.159865859,7.329214001,7.338383695,8.319463576,3.954944267,7.591596237,4.555976031,3.069717268,4.558603665,7.103445039,12.66705807,3.954677886,13.57362756,4.271074521,4.219936635,3.989899282,14.85282513,4.531794461,13.27488905,29.67643762,6.220927395,17.37433932,15.47945629,12.38769714,8.458289482,14.66838768,4.599942497,10.85445385,17.55092902,7.605783478,20.31432384,23.25294437,7.876475425,19.02613933,7.38485511,3.528844434,15.61132428
