Category,Gage Park,Garfield Ridge,Grand Boulevard,Greater Grand Crossing,Hegewisch,Hermosa,Humboldt Park,Hyde Park,Irving Park,Jefferson Park
2006-2010,13.90887054,7.940755919,19.90564329,19.21179696,9.256523762,12.53032796,12.15180121,6.938044685,10.2214574,9.135913189
2007-2011,16.67529178,10.53849466,21.75827717,21.14717711,11.0501258,12.10242635,14.4159069,9.266988836,10.17708735,11.3455152
2008-2012,18.3277643,11.28815777,23.24274838,23.36775656,9.365490164,13.19359494,16.94634106,9.643570001,10.22234478,11.94135861
2009-2013,18.68183456,13.14837267,28.71398936,24.57493205,9.390964679,14.01496147,17.00094462,9.2551573,10.82882726,12.27442794
2010-2014,16.15219667,12.249749,26.64525784,27.58271274,9.040007428,12.42869856,17.7251844,9.195681649,9.207415405,10.15524462
2011-2015,15.75182899,11.56714063,24.50351919,27.05536951,8.997240879,9.899521939,17.7984549,8.738391462,6.846257653,9.984203806
2012-2016,15.98131959,10.19997626,23.05825721,25.45599808,6.623293117,8.721375411,14.93173056,7.797757407,6.2605301,7.503843108
2013-2017,13.91416233,9.924672013,22.20378097,24.35403296,8.451438113,7.292238808,12.43111568,7.227823176,5.615604157,6.09067861
2014-2018,12.60441868,8.416480052,18.90213246,24.31942363,7.481116647,6.190414037,12.24958241,7.81911218,4.083061023,4.798230708
2015-2019,12.98805864,8.874807178,15.37320626,21.90038855,6.122575678,6.216310561,11.78842925,7.816046587,3.856394973,4.520262782
2016-2020,16.27583335,8.120222446,12.77350173,20.06236731,9.922272413,6.120711221,11.18019549,6.311075783,5.938542209,4.443129103
2017-2021,16.20904179,7.524934028,14.70779136,19.29975263,11.31368591,4.781529634,10.93553548,7.905572764,6.445245501,5.730528408
2018-2022,15.68079158,5.202227681,14.50001848,16.94771464,10.99322305,5.502811081,10.48914557,5.981646579,6.000298467,5.959054974
2019-2023,12.95506389,4.333873266,15.57360665,15.42690611,10.91623738,5.780764747,10.3194547,7.250967386,6.225681158,5.362913613
2020-2024,11.47996796,3.773175684,16.11953484,17.23573981,9.137917477,5.306315315,10.5734931,6.831340323,6.571761919,5.153657457
