Category,O'Hare,Oakland,Portage Park,Pullman,Riverdale,Rogers Park,Roseland
2006-2010,3.058030643,26.42290038,10.45705625,24.64871416,26.79965861,7.666316732,18.4808863
2007-2011,4.56890023,30.31390055,12.00731761,22.73339355,35.62999176,8.283123226,19.3688954
2008-2012,6.596113927,28.25303054,12.36414775,26.92843776,35.13099251,8.923290301,20.61644137
2009-2013,7.372133372,28.6180282,11.97517415,26.27634531,41.67649917,9.892041112,23.56690641
2010-2014,9.851302245,28.04162756,11.71482795,26.86076188,39.75677519,9.283440076,24.57435881
2011-2015,9.593585801,21.46158845,9.26521717,20.6464791,40.17296083,9.607125865,25.13796838
2012-2016,9.060468542,21.20634486,7.814533565,20.91289313,37.1152137,8.504513573,25.61300784
2013-2017,7.647087081,22.99362104,7.048682718,18.15138082,34.6883467,7.419523282,23.9161602
2014-2018,7.787594672,19.50660722,6.294610912,18.03124749,33.73352527,6.702233813,21.86589016
2015-2019,4.411113029,15.40953844,5.486819815,15.89339714,30.87837564,5.428146166,20.13868183
2016-2020,3.819610567,19.81981883,5.448581569,15.69021873,29.83090862,4.582069696,18.75964647
2017-2021,4.767932243,25.67710604,5.617816301,15.38311681,26.290461,5.090518738,18.7057973
2018-2022,4.454633408,21.67249327,5.357157001,13.32056625,27.4141484,5.730761428,18.84382753
2019-2023,3.989899282,14.85282513,4.531794461,13.27488905,29.67643762,6.220927395,17.37433932
2020-2024,4.214252007,13.65771768,4.875971633,13.38639574,30.11091673,7.062080767,17.82823212
