Category,Douglas,Dunning,East Garfield Park,East Side,Edgewater,Edison Park,Englewood,Forest Glen,Fuller Park
2006-2010,16914.68475,42605.15466,19876.95544,24958.65706,47623.3923,11116.95895,32964.81593,18808.78825,3111.740353
2007-2011,16338.91307,41448.38192,20708.48542,24838.85264,46573.20227,11225.05772,29762.54075,18802.67597,2824.894698
2008-2012,16542.0446,42075.67035,21311.56924,23273.57884,46662.13537,11173.43603,28768.69137,18526.56985,2981.76697
2009-2013,16502.89149,42364.61988,20702.60254,23255.78447,46748.37431,10874.54548,28298.68258,18696.27917,2863.76639
2010-2014,16719.4902,43010.32368,20274.81076,23434.36928,46261.66451,10983.9587,27240.53034,18462.48496,2609.215675
2011-2015,17595.3616,42981.77837,20667.06769,23521.2993,45840.2062,11346.61338,26070.4305,18423.44797,2526.593704
2012-2016,17889.66297,43399.79144,20236.51119,22709.73444,46320.30236,11140.88568,25971.33314,18611.97681,2447.540965
2013-2017,18059.66315,43644.33366,20011.54475,23488.21763,46677.40764,11742.98888,25025.24062,18977.16124,2421.150666
2014-2018,18569.04198,43990.58126,19741.44305,23972.40979,47993.62146,11714.22904,23745.17141,19069.82678,2382.072325
2015-2019,18763.46336,43400.97756,18950.7186,23448.75298,48691.02556,11254.8028,22874.51699,19361.55814,2396.551147
2016-2020,21446.1956,43559.47772,18084.33555,23027.09329,58705.48646,10998.44561,21972.90484,19908.47651,2214.741652
2017-2021,21276.07504,44249.39929,19911.49407,24452.66607,58095.8643,11490.35614,21014.42991,20293.42839,2279.585172
2018-2022,21354.95298,42547.51008,19907.92813,23963.65591,56110.38021,11398.36534,21343.29484,19841.16413,2208.147279
2019-2023,21758.1816,41790.54392,20536.25419,22816.39138,56157.10714,11199.4445,21377.17817,19506.99724,2213.541924
2020-2024,21090.85064,41208.04599,20739.82582,22700.6946,56573.00067,11554.19191,23160.93952,19886.37507,2340.517806
