Category,Gage Park,Garfield Ridge,Grand Boulevard,Greater Grand Crossing,Hegewisch,Hermosa,Humboldt Park,Hyde Park,Irving Park,Jefferson Park
2006-2010,38528.83233,35357.97024,21878.30303,34903.21691,10642.92897,24641.97583,54117.20828,20617.90246,54791.53615,26687.47456
2007-2011,38112.69917,33840.90245,22284.33448,33991.20254,10232.81558,24771.67904,53447.19913,21602.61756,54403.09465,26073.57342
2008-2012,39190.224,33853.37442,23147.15022,32940.58878,10062.54272,25131.16949,54032.04952,21602.68461,56453.2361,26742.78867
2009-2013,39281.12683,34627.52465,22611.6431,32880.13397,9722.149228,25324.84015,52470.50364,22163.88317,56779.24922,27180.57611
2010-2014,40077.99505,34661.94124,22526.03101,32919.28161,9246.199924,24900.35489,54200.16965,22095.10103,56426.67582,26943.54591
2011-2015,40893.06138,35544.3632,22744.60603,32424.10619,8866.301854,25548.26318,54701.8595,22373.76842,56454.90006,27230.80187
2012-2016,40607.07527,35456.08126,22628.01738,32526.65447,9062.984675,24508.2395,55934.00197,22102.48356,55354.00159,26727.31718
2013-2017,40560.3918,36356.73815,22898.81088,31835.12199,9294.356659,24202.82175,56107.45544,22193.25788,54541.44682,26781.34315
2014-2018,39001.19833,36372.20231,23193.43983,30871.5076,9116.961917,23543.64791,55842.0467,22609.52191,53601.7094,27961.49763
2015-2019,37204.52762,37113.7674,22636.70095,30215.36337,9003.049938,23534.166,55049.31958,22487.8871,53468.35356,27475.35983
2016-2020,35208.7285,35975.55618,23665.60669,29493.07287,9087.313399,23226.58224,54032.27428,27723.74068,53573.61431,27178.20421
2017-2021,35535.81987,36629.19417,24397.21713,29381.15632,9155.108588,23267.21331,55399.94607,28802.43162,54247.70924,27155.68021
2018-2022,34727.44413,36329.36946,24809.15596,29063.63331,8940.497235,23217.07107,55027.68486,29560.78959,53551.99205,27015.36652
2019-2023,35639.0218,36353.39833,26340.23653,29636.65004,8885.929616,22840.71112,55220.81155,29593.13122,53799.21725,26624.87341
2020-2024,36010.47481,36657.21625,25177.24906,29219.18401,8767.938562,22644.71784,55766.95533,30600.29144,53301.72043,26634.54233
