Category,Kenwood,Lake View,Lincoln Park,Lincoln Square,Logan Square,Loop,Lower West Side
2006-2010,14345.07373,87028.28678,58240.01196,38354.99532,74552.33586,18906.71146,35308.67146
2007-2011,14149.32847,86636.34519,57605.89766,38490.1142,72898.95585,21310.4278,36880.98858
2008-2012,14434.33999,86513.4843,58227.32278,38559.21012,72839.43447,24850.59861,36355.1264
2009-2013,14217.16643,86619.29534,59328.5864,38598.68783,72946.19601,26771.40356,35133.71677
2010-2014,14124.43889,87628.35303,59540.45596,39472.44399,73131.82465,28385.05926,34770.85847
2011-2015,13680.2593,87630.31105,60352.4426,40681.95769,73641.93365,30866.54738,34213.66126
2012-2016,13382.82076,88879.25489,60700.4131,41405.23052,73739.3763,32491.57731,32820.14511
2013-2017,13502.26187,89243.65815,61179.78798,41641.07177,73056.09285,33303.92705,32713.49154
2014-2018,13558.77,89422.56782,61994.13253,41642.09383,72820.16326,34990.44798,32628.26572
2015-2019,14201.38874,90172.37814,62535.37409,42033.84187,72410.23576,35958.49753,33050.02182
2016-2020,17982.10712,101424.6902,69501.37421,41269.89221,71492.01653,40366.2332,32642.46647
2017-2021,18502.84147,102608.3801,69572.06528,42252.23779,71663.11748,40865.46132,33571.02218
2018-2022,18647.56471,101738.7645,69030.58035,42184.11601,71474.58674,42698.42477,34219.50727
2019-2023,18147.96569,101160.7551,67763.85526,41588.5058,71128.33375,43260.79831,33260.69255
2020-2024,18427.5253,102824.8287,67920.59158,41565.11288,71426.58839,43756.84988,33412.04159
