Category,Lake View,Lincoln Park,Lincoln Square,Logan Square,Loop,Lower West Side,McKinley Park,Montclare,Morgan Park,Mount Greenwood
1999,47.47265032648126,49.46272592823878,44.06065427586786,47.252460868948425,91.13359206,42.66284410630631,39.496082294815295,38.23339537429176,34.006861572621126,37.53651200707358
2000,,,,,,,,,,
2001,,,,,,,,,,
2002,47.47265032648126,49.46272592823878,44.06065427586786,47.252460868948425,91.13359206,42.66284410630631,39.496082294815295,38.23339537429176,34.006861572621126,37.53651200707358
2003,,,,,,,,,,
2004,,,,,,,,,,
2005,47.47265032648126,49.46272592823878,44.06065427586786,47.252460868948425,91.13359206,42.66284410630631,39.496082294815295,38.23339537429176,34.006861572621126,37.53651200707358
2006,,,,,,,,,,
2007,,,,,,,,,,
2008,,,,,,,,,,
2009,,,,,,,,,,
2010,,,,,,,,,,
2011,38.740336431093205,43.22900084416452,44.614764781525814,38.281128027723305,47.19903834543119,43.01392543,39.656205602099384,37.89294935,34.58444923194674,35.75256977
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,38.740336430943756,43.22900084416444,44.614764781525814,38.281128027723305,47.19903834543119,43.01392543,39.656205602099384,37.89294935,34.58444923194674,35.75256977
2015,,,,,,,,,,
2016,,,,,,,,,,
2017,30.60743660314193,37.43464805974457,36.46855992496941,30.01207722,40,37.31120767527121,31.601417615498963,30.000000000000004,30,32.79564309
2018,30.60743660314193,37.43464805974457,36.46855992496941,30.01207722,40,37.31120767527121,31.601417615498963,30.000000000000004,30,32.79564309
2019,29.202792402430898,30,23.519618489981134,30,30.102551423981648,29.999999999999996,29.999999999999996,30.000000000000004,20.400628602407185,22.81151378726063
2020,30.000000000000004,30.000000000000004,30.000000000000004,30,29.999999999999996,30,29.999999999999996,30,30.000000000000004,30
