Category,Belmont Cragin,Beverly,Bridgeport,Brighton Park,Burnside,Calumet Heights,Chatham,Chicago Lawn,Clearing
1999,40.09803868671158,34.174517886516924,41.80251387625482,40.00073747204949,34.64151671913927,34.497289528782034,35.33571410687628,37.34941741925791,41.12474224582566
2000,,,,,,,,,
2001,,,,,,,,,
2002,40.09803868671158,34.174517886516924,41.80251387625482,40.00073747204949,34.64151671913927,34.497289528782034,35.33571410687628,37.34941741925791,41.12474224583127
2003,,,,,,,,,
2004,,,,,,,,,
2005,40.09803868671158,34.174517886516924,41.80251387625482,40.00073747204949,34.64151671913927,34.497289528782034,35.33571410687628,37.34941741925791,41.12474224582566
2006,,,,,,,,,
2007,,,,,,,,,
2008,,,,,,,,,
2009,,,,,,,,,
2010,,,,,,,,,
2011,37.72655172,36.25208934442294,41.92080970802759,39.55353760516409,36.74683251177823,35.09981492607792,34.932022432291845,39.29690518565158,46.09246500034947
2012,,,,,,,,,
2013,,,,,,,,,
2014,37.72655172,36.25208934442294,41.92080970802759,39.55353760516409,36.74683251177823,35.09981492607792,34.932022432291845,39.29690518565158,46.09246500034947
2015,,,,,,,,,
2016,,,,,,,,,
2017,30.011926177346275,30.001751559136476,33.76238584365639,30.02613776109215,30,30,30,36.56829101280324,40
2018,30.011926177346275,30.001751559136476,33.76434567674107,30.02613776109215,30,30,30,36.56831500055526,40
2019,29.999999999999996,29.998881389401543,30,30.000000000000004,29.997478656950758,20.921998280250676,26.11806947,30.007408899346174,32.50481520483668
2020,30,30,30.000000000000004,30.000000000000004,30.000000000000004,30.000000000000004,30.000000000000004,30.014817798692345,30.000000000000004
