Category,Douglas,Dunning,East Garfield Park,East Side,Edgewater,Edison Park,Englewood,Forest Glen,Fuller Park
1999,39.263443981334014,40.25609992661093,41.24124335131272,37.812753921787504,46.266553105399986,48.19673430200522,36.000223107808004,43.689486549093985,39.49839235527782
2000,,,,,,,,,
2001,,,,,,,,,
2002,39.263443981334014,40.25609992661093,41.24124335131272,37.812753921787504,46.266553105399986,48.19673430200522,36.000223107808004,43.689486549093985,39.49839235527782
2003,,,,,,,,,
2004,,,,,,,,,
2005,39.263443981334014,40.25609992661093,41.24124335131272,37.812753921787504,46.266553105399986,48.19673430200522,36.000223107808004,43.689486549093985,39.49839235527782
2006,,,,,,,,,
2007,,,,,,,,,
2008,,,,,,,,,
2009,,,,,,,,,
2010,,,,,,,,,
2011,39.14964902920075,38.934675169328294,40.81590728367811,32.836363032809786,35.257169021124774,39.57617592729669,35.38080636605445,37.61626703130868,37.59109140143792
2012,,,,,,,,,
2013,,,,,,,,,
2014,39.14964902920075,38.934675169328294,40.81590728367811,32.836363032809786,35.257169021124774,39.57617592729669,35.38080636605445,37.61626703130868,37.59109140143792
2015,,,,,,,,,
2016,,,,,,,,,
2017,31.536767584668247,30.00024831373288,31.626945662459192,30,30,30,30.000000000000004,30.000000000000004,30.00035676763007
2018,31.53702793634221,30.00024831373288,31.626945662459192,30,30,30,30.000000000000004,30.000000000000004,30.00037313130932
2019,30,30,30,20,20.907463018689775,30,30.000000000000004,29.99973809383717,30
2020,29.999999999999996,29.999999999999996,30.000000000000004,27.65727720913032,29.999999999999996,29.999999999999996,30,30,30
