Category,Albany Park,Archer Heights,Armour Square,Ashburn,Auburn Gresham,Austin,Avalon Park,Avondale
1999,42.77792800072215,42.130665957722705,44.61697932865869,36.54851604486593,34.23968965800314,41.95965152114313,35.90191154778814,46.12795449
2000,,,,,,,,
2001,,,,,,,,
2002,42.77792800072215,42.130665957722705,44.61697932865869,36.54851604486593,34.23968965800314,41.95965152114313,35.90191154778814,46.12795449
2003,,,,,,,,
2004,,,,,,,,
2005,42.77792800072215,42.130665957722705,44.61697932865869,36.54851604486593,34.23968965800314,41.95965152114313,35.90191154778814,46.12795449
2006,,,,,,,,
2007,,,,,,,,
2008,,,,,,,,
2009,,,,,,,,
2010,,,,,,,,
2011,37.33020013219074,42.273068234938044,43.67477568956901,41.86694473623919,35.35603240678567,39.09866452698065,34.85220617480036,38.242855148433804
2012,,,,,,,,
2013,,,,,,,,
2014,37.33020013219074,42.273068234938044,43.67477568956901,41.86694473623919,35.35603240678567,39.09866452698065,34.85220617480036,38.242855148433804
2015,,,,,,,,
2016,,,,,,,,
2017,30.59172365140696,39.04431649538085,39.83332410580658,39.99282093,31.428362,30.77921521043558,30,30.009353960860143
2018,30.59172365140696,39.04431649538085,39.91444913,39.99282681757872,31.428362,30.779215188789173,30,30.009353960860143
2019,28.220250088924207,30,30,30.00869693710149,29.999999999999996,29.999999999999996,20,30
2020,30.000000000000004,29.999999999999996,30,30.010521075095944,30,29.999999999999996,30,30.000000000000004
