Category,Portage Park,Pullman,Riverdale,Rogers Park,Roseland,South Chicago,South Deering,South Lawndale,South Shore,Uptown
2013,719.9500879,1198.208042,424.8589528,15.61891716,1548.684317,183.3408207,287.3245148,69.93021956,309.4517608,1446.710297
2014,684.1665686,1259.911126,420.6016199,15.71178852,1529.557641,180.5003318,283.3324375,71.45130745,301.98825,1425.682406
2015,714.9292231,1263.359001,405.1234489,15.75264859,1543.478102,181.082335,294.9135864,69.12653318,292.9848755,1430.282938
2016,823.3576156,1638.769208,455.7446112,432.6120035,1658.014192,204.7565088,426.2081173,182.9484856,395.2839857,1913.854689
2017,794.2612717,1550.745042,446.3174942,444.6750369,1630.247833,205.5870725,429.7932727,182.8465999,382.8415114,1910.675544
2018,935.9102667,1620.627649,451.192614,957.7778961,2050.698748,381.5711835,519.9924241,685.880319,544.6513202,2430.519254
2019,967.6729374,1678.716722,398.294725,945.5865857,2014.865382,367.5802367,463.4509909,701.6028486,538.6028397,2414.85765
2020,258.8975327,572.4927137,83.54856494,243.4688639,566.998442,69.44439978,133.1046662,172.868618,137.3302182,427.1309401
