Category,Douglas,Dunning,East Garfield Park,East Side,Edgewater,Edison Park,Englewood,Forest Glen,Fuller Park,Gage Park,Garfield Ridge,Grand Boulevard,Greater Grand Crossing
2013,1033.6487569900341,558.0218829067416,3003.0800576333786,793.6013688422886,976.9511486948574,634.1154211950028,2361.316436088366,1830.5697516034693,9450.952696257798,391.80652715327454,1106.724976615813,421.5074506499091,2079.9212673636666
2014,1040.4661800673186,569.0349220508332,3025.850843690558,800.8381348,979.8081468120969,642.1714644463883,2324.2716281651833,1837.7247597982391,9600.161766609186,381.4609213897147,1124.5877409925931,424.7825971739228,2075.5900162619278
2015,1040.6945507608957,576.9304912521756,3009.842967730478,789.1608343597184,971.0547586332393,627.6287151124158,2361.0539512972878,1873.1453128570236,9826.270895745396,378.1285406,1090.3936646005611,422.7044965591861,2018.6247750126095
2016,1398.6049407905662,560.5544758304989,3331.974623700099,811.6314848792233,1452.6647261832848,719.3540985703103,2743.5920384533697,1919.7426574498302,12426.869162523457,416.4600566890976,1273.3884243438429,620.5887047464314,2149.109912769442
2017,1409.5759192199937,554.9821530572439,3312.345074086947,805.2242531860123,1456.2721856676987,689.3709025489151,2687.4152928358176,1927.4555074795503,12519.203851864098,418.90346182226796,1275.3597769340545,619.2078586,2200.8017370090424
2018,1871.7095573955064,670.5443294584323,3663.328412559835,962.8983131498101,2299.618433605457,803.2256874900368,2976.6787147842765,2184.531669254923,11696.981458697264,614.4235557965357,1442.556427330436,1225.583013158009,2761.221598436584
2019,1947.8205615369234,683.7025402592078,3680.742110143829,949.7450065948348,2267.397930793877,796.0047624185795,3519.2941390376304,2155.0113035104187,11685.38741501032,608.6738002365918,1521.946296834514,1318.7151867919963,2667.4672861222916
2020,452.43940899768376,194.32115034577842,1170.9561042554867,168.08798615948126,525.8335109236336,235.67711071804416,973.1428684547063,449.41971640463333,3403.192038673907,146.01546397311532,391.8481280596746,283.6612711477048,701.6667477877376
