Category,Lake View,Lincoln Park,Lincoln Square,Logan Square,Loop,Lower West Side,McKinley Park,Montclare,Morgan Park,Mount Greenwood
2013,1292.025208102796,258.3047379689176,196.2626355887787,3824.4719995226055,4351.380907421094,1097.671088807999,1101.371704631092,230.45671529655272,721.1207254649781,17.48409772948296
2014,1276.9871469613868,256.03129872042507,198.3060548149063,3782.784510222323,4306.151136878076,1113.906043,1122.272605541946,229.77695238783912,749.1859411505168,17.680129032649003
2015,1280.1015919613742,251.16653362985937,198.91559595826993,3786.745901059481,4370.119722,1084.715835640734,1124.1590406698174,224.52469992282528,768.7975872860712,17.560046404472835
2016,1687.645558329339,476.7785351527221,379.07055815238147,4490.827803777119,5205.8328170379455,1322.807187167803,1470.3825043557608,228.0140167315936,996.1096884692523,185.51855666977974
2017,1686.302359818662,471.2052775864242,381.29272181874177,4466.2525191877185,5180.953620726069,1295.7059916744734,1501.47709,252.3137656953629,1012.9815169030733,194.0940085577737
2018,2044.9331632866292,699.5626900981773,1351.443090742174,4034.1797239259363,6264.725092684249,1694.6549786089797,1813.703059112896,567.7155988372899,1188.3967152937637,532.0017479543177
2019,2020.748690006691,715.7366171665508,1372.376655240858,4026.4918945552895,5574.064716005157,1791.0026708204657,1875.5030275203435,567.8030570048151,1165.2311850991512,546.7631871836568
2020,471.18224586378534,170.94735392333695,175.18092637640623,1114.884253055459,1217.4304955824125,566.7581919596613,522.3796114421162,151.48869394163756,360.5669410474383,152.08919307106999
