Category,Albany Park,Archer Heights,Armour Square,Ashburn,Auburn Gresham,Austin,Avalon Park,Avondale
2013,167.92154675408906,1071.8855029782867,8116.1987870164185,442.22014842512215,292.1855435742919,1160.8884838176741,1175.1351457623718,5476.3397574859555
2014,154.4813891,1065.6254925512148,7959.763322310251,439.2282031670664,301.2986663650802,1162.884591872794,1085.5046638433716,5455.753992608784
2015,169.56008996405956,1059.2647120938616,8005.295692912064,437.18946214905236,297.2230689032559,1173.3684458086623,1083.9208857476165,5467.3376757602355
2016,462.66700817675087,1180.753878937056,10134.75956425405,832.2201105,507.3548632129073,1278.8518457991986,875.2006373362814,6409.762749978808
2017,476.53650992927703,1178.5209770777785,10021.208207455737,839.0181048135036,508.1412440248867,1297.4832191662715,897.7260717180407,6318.370938153894
2018,1068.339957475342,1106.5502515800758,10286.635936932007,962.8556058599779,720.7751293653602,1744.3600405003408,1066.6678909867608,5641.324039610856
2019,1064.5969060541277,1127.2453718902543,10420.364403859354,953.4605825564284,732.7471319904474,1717.3970433898758,1077.7182425652825,5606.200579268756
2020,231.76472977181163,287.5906553167026,2835.0705264099224,251.5332338447818,169.49959820009502,425.22334230004935,166.28103130705054,1760.8228169571955
