Category,Hegewisch,Hermosa,Humboldt Park,Hyde Park,Irving Park,Jefferson Park,Kenwood
2013,105.37152278561646,48.48290953046118,227.9229660126629,678.3251363865498,4033.4401718142058,1456.5054276145968,872.1691428240769
2014,108.91201197104036,48.75304791851178,230.8354516727488,690.7287219,4181.105944520601,1471.2136575239465,876.7795898611049
2015,111.01533255332266,47.57378536945283,232.5692300823645,674.6186716033516,4089.0565783640427,1482.8472377462674,885.1674233959081
2016,193.44071924461934,160.4043350066197,287.1202753284987,906.4132118336391,4953.222374014906,1917.2474652024755,1505.5606730369027
2017,183.25614192985014,159.9793186232917,287.1051439272459,888.4804790248838,4838.597221823825,1905.765452067567,1493.6493193434276
2018,441.8920696407121,529.0895769582359,659.2848057201184,940.7678988886399,4163.377935106592,2212.232546762694,1796.8023206278845
2019,432.1258076875083,525.3377030643176,656.0370307766656,902.1369104532528,4131.7764675716435,2195.3499994119306,1783.4289522374631
2020,98.02277333227887,120.27512992477558,149.1276212612041,162.42561665494966,1044.888067853914,417.9094890969608,295.8697819265298
