Category,O'Hare,Oakland,Portage Park,Pullman,Riverdale,Rogers Park,Roseland
2006-2010,75338.78123205178,30733.229411508997,76151.87704638235,50100.38583194276,20125.43811023832,60802.88550503931,59814.27207105181
2007-2011,72423.55735226657,27709.37029953929,75165.73839130696,56087.58676760646,19862.878927765785,60561.90044287069,56322.476565807556
2008-2012,73021.14193582613,30487.754187550385,75235.39993108416,52400.36854587307,19973.29803629013,55625.69418199058,53302.130565124084
2009-2013,68676.64404,29200.824361222505,73278.88873,52659.11536782252,19406.48122096493,54645.333588358226,52460.69459526385
2010-2014,70741.25078341908,36738.73915725012,73893.01994572362,49645.19175980334,19449.34686840765,51218.14925938528,52569.030472169856
2011-2015,72738.63592,39107.807643358945,75741.13954520867,47478.73727,19896.54842600685,49088.275073293655,51299.78377230369
2012-2016,75893.28043104787,38189.18103030796,76784.89449749255,47775.58633617448,19083.872189599846,49554.028565890825,49898.85465965543
2013-2017,77878.48855993467,38464.980491274684,80388.61592,49363.306109413425,17801.638894596384,52356.62339685541,50216.41656645506
2014-2018,70818.59967488325,36375.885983477514,82474.87066103342,48007.66561133394,17429.987343183624,51976.03759702949,49531.343976602904
2015-2019,72587.08683279422,41764.346156940956,85832.75980557717,49163.188568492835,19080.460905486212,53556.35647387074,50943.84555620846
2016-2020,72960.66471369825,38934.03573042139,90173.81903539273,61635.16899516039,26381.91619915445,54712.075557674696,52927.16592355202
2017-2021,71598.98208183228,35556.667457697724,91234.10486347233,63693.005295902876,22580.968599417403,59786.152454966104,53547.300346781776
2018-2022,74506.66464518267,28229.901388712715,91690.50903813967,61034.40959472333,23101.144502861145,61792.44906911152,53051.16291755313
2019-2023,77709.06794682547,28331.543362386983,92394.01770497109,58719.09627770439,20398.315364859798,60625.61258855925,54483.971390538376
2020-2024,81993.49818106442,32240.587511620397,92328.88122555522,62495.27857437895,16946.246214701485,63293.40698066556,54361.768530578505
