Category,South Chicago,South Deering,South Lawndale,South Shore,Uptown
2006-2010,45404.58986273809,43785.43639000755,54755.185380456496,43719.048724559936,66433.52309358276
2007-2011,43145.123332107505,42115.12576422282,52800.85266227755,43090.10245356025,68509.60015737916
2008-2012,42439.07924981523,38984.55955315441,53361.09765957058,44437.644458985305,65809.40578
2009-2013,40455.172158695816,38356.171424076376,46820.50091063654,40953.13519804851,67942.76824835708
2010-2014,40251.94204,33078.17498795895,44749.14550978218,36627.37939129626,65927.84579188221
2011-2015,39796.66676552609,30531.298722247877,46027.75598967028,35398.04667226311,68037.23762701257
2012-2016,38156.75977588031,29988.27801,46463.414768462215,35577.98926366752,66133.28662158347
2013-2017,39337.089132164976,30146.468722921785,43546.066895762626,33886.28614780352,70675.34754399063
2014-2018,42065.345068147224,34492.83886,43127.17180801278,40209.116778805845,73448.68930942056
2015-2019,47373.19462056593,36513.12824336364,43123.14688029334,45021.44388,76014.84581675082
2016-2020,48385.79000559034,39879.695674403876,46643.18378387355,43802.80370549123,71820.95300119265
2017-2021,47460.480348866746,42802.89845461519,46669.55019623347,42331.95108698558,74252.89417420115
2018-2022,50087.9103,44024.19073059236,48070.39024377047,42080.77301238211,73085.56588391722
2019-2023,46628.57336391903,43761.80602933936,54606.72931709156,43501.604924438274,72582.66643898017
2020-2024,45124.71781639679,47962.69064449837,58666.08009178724,45587.395930458966,73109.52685334624
