Category,Douglas,Dunning,East Garfield Park,East Side,Edgewater,Edison Park,Englewood,Forest Glen,Fuller Park
2006-2010,56410.24344212446,88724.02004766287,35044.17755799763,56228.67922,73757.68376687937,115154.43652027004,30305.225836946956,133189.31856970923,25241.27415354345
2007-2011,47743.257623196725,85735.65516787674,34429.00074923993,55776.051608589194,71385.38579,116804.32844711162,28888.34695283624,130863.94773904147,20868.37837659484
2008-2012,49698.38834830648,83274.74978,32909.70182663263,53061.63984834103,70978.78308346865,113368.69765421136,26582.476535268823,129005.50853334607,22731.810486073147
2009-2013,49475.55312720586,79517.78792929454,32786.96343782565,56332.69195591614,70977.36247682883,106991.91181491195,27452.47614792704,121545.04546632848,22887.642460148047
2010-2014,50097.31695626211,78700.35824299596,29471.822012116252,55061.58625773435,67960.52151090023,106132.88478404644,25518.045384489273,130999.23045183935,22847.682874973725
2011-2015,45895.90650056685,77269.38779797424,29284.050288436236,55304.449991944675,70708.53387,109103.61445135798,27849.473820248862,137955.88868905357,24940.037578874835
2012-2016,46733.977116463444,78839.32008,32819.61436122616,53956.86580930872,72042.58227145877,112478.87572251553,28328.792419634363,146273.52831758704,28455.648966560482
2013-2017,49426.08208617889,82759.39896880064,30703.18068539082,53301.27296,73783.46879290686,124280.73567555894,27082.770187221184,145762.40282497325,30627.505949512008
2014-2018,49200.220667120026,86837.08951689281,29654.61960240973,55723.54801350518,76789.17668,124937.42297021979,28711.87645250404,144519.32311910266,29758.066158733764
2015-2019,50425.28768414282,87021.66248,30225.87953099246,62099.15849949917,83246.67342678284,129245.33097432993,29563.161389214172,155560.5153855857,29697.28597198001
2016-2020,52344.293669196944,91635.27439618084,29948.572567596206,61878.480931119804,79477.62656,136994.85451199103,28649.261328511337,155153.57430346138,23737.342949404818
2017-2021,56575.269491528365,90447.14266093126,32230.061030582867,66770.84626,80975.26146643527,131107.51475832966,29684.20551,153532.34131238324,21179.244956271003
2018-2022,60783.42578195152,89403.60075573192,35784.09108,69014.58267066754,75964.56425927389,126932.9596607981,31587.960467864243,150432.12576880126,19549.040939507417
2019-2023,61004.06477088556,87184.88939388616,39594.35337,62366.50441,77181.85060838981,134375.16078412856,31636.260080030144,146580.92602263644,21749.42662668389
2020-2024,60402.63534,88162.72773993322,39861.333804728056,63386.104442290256,75774.40968629313,130127.73198417123,32084.861861296926,139311.02517710617,22023.81053747795
