Category,Albany Park,Archer Heights,Armour Square,Ashburn,Auburn Gresham,Austin,Avalon Park,Avondale,Belmont Cragin,Beverly,Bridgeport,Brighton Park,Burnside,Calumet Heights,Chatham,Chicago Lawn,Clearing,Douglas,Dunning,East Garfield Park,East Side,Edgewater,Edison Park,Englewood,Forest Glen,Fuller Park,Gage Park,Garfield Ridge,Grand Boulevard,Greater Grand Crossing,Hegewisch,Hermosa,Humboldt Park,Hyde Park,Irving Park,Jefferson Park,Kenwood,Lake View,Lincoln Park,Lincoln Square,Logan Square,Loop,Lower West Side,McKinley Park,Montclare,Morgan Park,Mount Greenwood,Near North Side,Near South Side,Near West Side,New City,North Center,North Lawndale,North Park,Norwood Park,O'Hare,Oakland,Portage Park,Pullman,Riverdale,Rogers Park,Roseland,South Chicago,South Deering,South Lawndale,South Shore,Uptown,Washington Heights,Washington Park,West Elsdon,West Englewood,West Garfield Park,West Lawn,West Pullman,West Ridge,West Town,Woodlawn
2009,295,88,93,396,440,802,111,260,501,166,203,193,48,112,260,563,214,86,428,228,103,652,111,511,163,43,241,299,233,345,57,163,475,195,469,217,131,1472,950,416,690,798,115,79,115,213,154,2257,730,1079,502,515,312,126,360,112,64,455,75,10,460,467,311,108,198,378,681,273,99,141,583,207,262,378,601,1066,354
2010,328,100,57,415,412,756,91,302,594,167,183,262,41,123,264,537,215,95,500,197,116,624,109,470,192,26,249,294,289,326,79,184,461,140,470,212,144,1494,1054,410,676,725,99,94,122,211,150,2202,575,916,416,579,281,119,330,136,28,491,44,11,455,396,286,105,246,390,507,265,110,146,530,183,311,352,721,1042,272
2011,309,99,50,409,349,543,80,325,620,188,206,236,24,105,225,493,198,71,424,185,109,532,123,337,185,35,196,295,233,256,59,162,420,160,422,217,117,1383,960,424,698,721,113,88,124,164,146,2124,463,810,294,526,240,127,361,145,42,517,43,10,445,271,241,53,205,341,455,241,116,142,336,138,316,203,716,989,224
2012,381,91,70,470,378,613,82,380,666,205,223,249,24,125,282,451,284,127,524,168,128,757,134,294,238,15,233,381,273,255,69,147,403,198,557,307,153,1869,1387,493,861,969,131,85,142,155,147,2659,676,1018,272,609,245,150,451,158,53,623,48,11,534,301,228,91,242,379,648,251,114,170,254,129,366,245,820,1414,212
2013,437,133,53,554,423,738,107,400,719,262,249,264,35,137,311,476,382,111,670,205,162,873,189,274,317,24,243,452,333,298,66,193,473,248,746,354,206,2411,1762,593,1154,949,188,114,180,230,227,3028,880,1341,314,851,248,168,570,187,54,753,63,9,600,430,299,82,267,492,884,306,113,189,362,133,418,352,912,1846,245
2014,413,125,85,540,463,685,138,381,594,236,291,250,40,141,305,480,309,101,579,166,151,843,178,215,256,26,242,413,278,334,104,159,447,217,657,321,170,2298,1732,536,1105,876,210,106,146,220,239,2817,849,1214,297,768,221,161,543,136,47,717,80,13,541,376,260,88,223,504,868,299,117,184,254,126,349,285,768,1834,261
2015,446,106,83,514,471,672,104,442,609,249,285,239,39,171,317,477,321,125,580,157,139,888,201,246,302,24,236,433,260,310,94,166,432,291,677,343,182,2399,1730,594,1162,889,197,106,165,269,236,2889,891,1298,279,809,232,201,548,145,56,690,79,10,518,363,278,134,204,453,877,321,99,154,278,97,357,276,714,2032,246
2016,517,112,103,583,568,804,175,498,608,276,332,252,45,183,378,512,359,114,658,182,179,980,206,236,293,22,193,492,318,373,125,163,477,313,826,398,211,2522,1934,606,1231,986,233,129,143,292,301,2981,994,1301,323,859,263,185,585,190,44,800,64,14,624,466,292,146,258,522,1100,388,95,194,277,158,345,309,791,2006,282
2017,478,98,102,626,633,917,207,480,616,329,374,242,40,219,445,551,381,134,676,185,187,1009,196,317,286,30,180,519,333,374,116,159,471,332,823,417,226,2831,1859,734,1316,966,261,125,163,324,292,3014,968,1400,335,812,323,182,659,206,37,798,82,11,701,541,308,159,291,516,1315,467,110,155,393,155,340,380,817,2073,289
2018,450,101,104,569,684,976,212,483,554,278,341,260,51,212,377,561,397,129,631,190,206,1291,203,318,276,32,213,546,305,489,115,164,469,307,706,382,222,2530,1849,636,1128,1179,227,127,166,366,295,3068,855,1254,326,778,318,180,579,177,42,777,98,10,631,669,354,165,298,608,1137,479,116,153,411,203,303,447,719,1788,300
