Category,Washington Heights,Washington Park,West Elsdon,West Englewood,West Garfield Park,West Lawn,West Pullman,West Ridge,West Town,Woodlawn
2009,273,99,141,583,207,262,378,601,1066,354
2010,265,110,146,530,183,311,352,721,1042,272
2011,241,116,142,336,138,316,203,716,989,224
2012,251,114,170,254,129,366,245,820,1414,212
2013,306,113,189,362,133,418,352,912,1846,245
2014,299,117,184,254,126,349,285,768,1834,261
2015,321,99,154,278,97,357,276,714,2032,246
2016,388,95,194,277,158,345,309,791,2006,282
2017,467,110,155,393,155,340,380,817,2073,289
2018,479,116,153,411,203,303,447,719,1788,300
2019,496,103,158,417,198,301,433,719,1830,295
2020,379,80,125,316,129,219,333,574,1707,244
2021,414,92,157,494,181,300,507,929,2528,324
2022,390,113,153,474,179,270,451,737,1991,262
2023,361,52,128,410,163,191,380,606,1345,162
