Category,Albany Park,Archer Heights,Armour Square,Ashburn,Auburn Gresham,Austin,Avalon Park,Avondale
2006-2010,9.055268545,10.66185985,15.32574214,8.859866048,23.42093971,19.44255436,16.47942752,8.657749132
2007-2011,10.10548704,13.14977014,17.23026904,10.3177891,25.53468685,19.87427935,16.10249109,8.958937714
2008-2012,9.796738615,14.26253928,20.39787038,11.75365012,27.70417886,20.78548454,21.27855719,8.772468704
2009-2013,10.87959671,15.56043154,20.51208635,12.70488394,28.3103805,21.439083,22.00602498,9.242288223
2010-2014,9.582409287,14.8336602,20.16305964,13.04592613,28.63747377,21.05664204,22.68422106,8.429976035
2011-2015,8.829778892,12.94885312,20.49755857,13.34904232,26.50078762,18.618391,22.56022408,7.838555003
2012-2016,7.592916972,10.54340588,17.2533728,12.42938339,24.3348271,17.04073644,24.21125918,6.070592072
2013-2017,7.100631537,9.666280765,16.39581567,13.3340186,21.63905571,15.06084309,17.86922629,5.31885958
2014-2018,5.499128771,8.379392792,15.31645547,11.82336577,18.80344033,12.89713541,16.33903132,4.527831235
2015-2019,5.177424607,7.677385298,12.86972225,11.10553817,15.93455311,11.93201506,14.55867987,4.326133566
2016-2020,6.632342255,8.777513856,7.508788299,10.5100465,16.67888539,13.52717509,15.74907444,5.044909271
2017-2021,6.666051739,11.40344989,7.952565941,11.87710116,19.56297551,13.75681153,13.46870301,5.01250923
2018-2022,6.426612271,13.67570787,8.047964958,9.934491273,19.39206312,14.50406366,12.11918682,5.670223922
2019-2023,6.504810693,9.581834436,8.775562679,9.334303521,17.79970672,14.623578,14.36370086,5.337307324
2020-2024,6.954590074,11.78087345,10.54661554,9.684967525,17.37831914,15.17390839,13.72072891,5.982533819
