Category,Belmont Cragin,Beverly,Bridgeport,Brighton Park,Burnside,Calumet Heights,Chatham,Chicago Lawn,Clearing
2006-2010,11.67646075,7.567937095,10.63218059,12.2926165,23.42464598,16.42559134,19.25513433,12.57700221,9.261584102
2007-2011,13.20902312,6.864888502,13.17975797,14.13576607,19.55415183,19.59331816,22.09846181,15.48738555,10.73089635
2008-2012,14.24550451,8.013555311,13.14769517,14.95076574,18.55419707,19.42429853,23.28032689,17.9180685,9.284392013
2009-2013,15.46539772,7.501420493,14.47374412,15.75451043,20.02865652,21.19568297,24.14423666,20.89859947,10.20705647
2010-2014,13.9815918,7.293651749,13.36167935,15.76351531,16.16208099,20.79688352,22.19577619,23.38304244,9.78276375
2011-2015,12.06328477,7.017776201,11.63586295,13.17071805,21.49284258,16.76708904,19.76310494,24.04937388,9.890438241
2012-2016,10.44246653,6.40990941,9.919181439,10.71152393,18.37531386,14.12678287,19.05092864,24.52072927,9.540567367
2013-2017,9.062709164,5.986219803,8.783496082,9.766504287,22.31022668,12.6326047,19.24727234,24.38302038,9.577198031
2014-2018,6.908613445,4.213917761,7.915351164,8.96297133,21.94121457,10.76293168,16.7525422,23.86479868,8.710759435
2015-2019,6.166630056,4.418617698,6.839059483,7.91818712,20.12727786,9.083220288,15.34509234,20.88144888,8.746141136
2016-2020,5.060317033,6.173195251,6.823709002,10.61812509,15.92549062,7.388587525,16.35423652,17.45930084,10.58037941
2017-2021,5.366107536,7.778993962,6.440177143,9.627386921,21.45450498,9.139810303,14.32516402,18.15504173,8.479568901
2018-2022,4.516766399,7.554829761,6.734385125,9.677438738,16.21636856,8.241089241,15.21563053,17.84420803,8.349821336
2019-2023,5.012924206,8.470131398,6.121774216,9.179231406,18.6107973,11.67117345,17.26527156,14.35003837,8.512065856
2020-2024,5.701190118,8.70074777,5.982019267,8.019109781,18.81423455,11.91542954,16.41671588,11.72758483,6.412930752
