Category,Washington Heights,Washington Park,West Elsdon,West Englewood,West Garfield Park,West Lawn,West Pullman,West Ridge,West Town,Woodlawn
2006-2010,27540.95101,10481.10809,17779.68836,38930.61108,19324.59327,32611.97533,32229.63701,72051.62804,83570.59785,21808.36621
2007-2011,26518.77808,10761.71161,18106.10281,37937.64281,18966.4664,32595.58105,31849.8846,73855.1606,83031.29475,23081.52509
2008-2012,25928.32011,11147.28589,18841.28825,35511.88127,19374.28421,32861.72039,30436.03836,73688.76992,85124.71974,22549.88009
2009-2013,26150.15775,11531.2731,19375.72645,34843.99507,18715.65936,33108.05904,29480.55109,73288.68588,84709.52911,22570.8204
2010-2014,26338.83246,11648.31768,19028.7205,34483.27526,18888.17386,33382.22221,27853.01282,73004.57056,85335.27693,23581.91115
2011-2015,27015.13113,12082.03607,19056.97898,32382.45232,17737.3259,32659.32344,27659.38129,72200.56719,86578.27667,24533.4889
2012-2016,26951.21378,11869.15223,19791.49542,31044.55973,17494.11598,33501.51174,27252.07909,73710.15622,85415.81329,24062.78959
2013-2017,27346.12289,11502.33307,19075.725,30159.19426,17158.37298,33015.30095,27416.29759,76199.37068,84591.15014,23407.48018
2014-2018,27247.60197,11354.93483,19199.77595,28462.23097,16943.82165,32089.49404,27137.58685,77194.7566,84253.74066,23140.92948
2015-2019,26635.00775,10969.04305,18992.53725,26567.53568,16414.88891,31799.90351,26700.34413,78444.20231,84714.80834,22922.63445
2016-2020,26828.96084,10428.89609,18378.4822,26359.22809,16479.72027,32045.33941,26316.20024,78771.69893,84557.40213,23663.55132
2017-2021,26567.82303,11608.21486,17881.78947,26482.08759,17278.79444,32283.84021,26772.6205,79910.62781,86866.9568,24361.67751
2018-2022,26351.71819,12367.5632,18222.9,25970.99905,16366.70229,32477.68597,25303.90722,79279.66975,86512.67877,25090.04686
2019-2023,25214.85955,13111.91615,18422.73934,26925.84486,15610.30139,32530.90571,24333.39409,78241.38989,86596.47619,25094.86335
2020-2024,24755.829,12314.66841,17758.84349,28311.7057,15086.16255,31827.03352,24421.34461,78390.30822,88181.67603,24802.5642
