Category,South Chicago,South Deering,South Lawndale,South Shore,Uptown
2006-2010,30897.20986,16279.39229,72808.47846,43148.41608,51508.16733
2007-2011,29590.8988,16687.97901,72766.5141,42422.13511,50018.88462
2008-2012,27912.16181,16456.11439,70525.78324,41509.30631,49785.31636
2009-2013,27497.80981,15755.25931,69922.23661,43073.72078,49156.04104
2010-2014,26895.50902,15579.11576,72847.13098,42818.39282,48729.28675
2011-2015,26380.07143,15317.19143,73793.00167,43158.84384,49755.23157
2012-2016,26077.15476,14648.61006,73926.961,42483.18086,50931.36239
2013-2017,26832.25158,14632.67342,74781.49859,42388.70521,52550.05492
2014-2018,27463.28287,14720.42087,74861.50611,43021.50958,53226.52407
2015-2019,28332.44888,15488.0447,72091.38308,43755.22352,53663.31725
2016-2020,29930.15076,15151.36062,70139.35433,50462.01447,57542.52716
2017-2021,30352.92481,15211.55377,70188.68687,52734.64186,57170.54312
2018-2022,30268.41936,15228.06129,69643.54076,53325.29274,55615.81448
2019-2023,29338.06309,14217.98085,68751.12029,51948.07676,55447.87687
2020-2024,27507.14761,12875.86081,69830.03688,51377.59421,54490.99263
