Category,Near North Side,Near South Side,Near West Side,New City,North Center,North Lawndale,North Park,Norwood Park,O'Hare,Oakland
2013,2840.462295,2868.569328,4660.472725,131.3118893,730.8128918,330.5437496,248.4458222,1188.458118,1168.534244,1470.140832
2014,2841.952019,2876.563624,4618.224617,133.8686895,738.6501726,318.789981,249.7915495,1115.054519,1148.656183,1539.153207
2015,2820.483844,2871.552638,4646.616114,129.6560889,733.6707983,326.1208633,263.7408779,1146.236552,1158.994127,1578.428569
2016,3475.892516,3410.875214,5401.129631,344.052458,821.4645481,480.3292805,463.6550177,1485.7209,1385.594238,2142.785114
2017,3484.892134,3442.230289,5436.028477,346.3440593,819.683043,480.3041417,473.6967531,1500.058521,1373.893014,2187.420007
2018,3841.224344,5122.387475,5282.666588,620.1119635,977.6504355,707.7275696,825.7017906,1778.377982,2645.442858,2719.710171
2019,3713.540977,6275.97878,5695.494014,617.9231592,1005.804843,690.7519066,845.3792538,1768.944121,1761.344694,2754.440291
2020,1053.412528,1339.205363,2219.47184,149.4523172,248.858177,170.973763,204.3365103,427.2974463,414.9613467,576.6991016
