Category,Washington Heights,Washington Park,West Elsdon,West Englewood,West Garfield Park,West Lawn,West Pullman,West Ridge,West Town,Woodlawn
2009-2013,46.867684396633614,28.323761094934508,45.172583801100735,23.478996824860364,21.995733648881153,50.86939634615437,36.08261675,43.86100841885839,61.24088274831205,35.67963370602944
2010-2014,46.279305507631605,28.78641805625172,45.86273654461821,22.268472315304148,21.791270930393058,48.31462296879955,35.690814314474444,45.276016524722564,60.69074380609942,36.85774674420748
2011-2015,49.44132808,29.628837883033484,44.11318074241133,23.196164927168866,22.48178031116874,47.46535791,35.63665962380174,44.96794928649797,62.23774976559785,36.35531459097538
2012-2016,49.63308766820373,31.839305401781306,45.47473076585312,23.951803024305747,22.71335278698754,46.78838554006008,36.98958238643296,43.75614676082395,62.87379759305776,38.55892921532033
2013-2017,47.91827824651685,31.83413573221926,48.21368511456915,24.634872926348162,21.488625013775053,47.827772321704494,37.05170500081196,43.44896347111265,66.02547580089862,38.62278621
2014-2018,48.43254437650357,34.83578396221132,50.90419821990875,25.26886865341705,21.79663082595124,49.09652676,39.40180400828852,43.09053636768058,66.98163476027521,37.136727770328335
2015-2019,49.09226546020864,37.25665311402951,50.69066067262502,25.56868519613499,21.80172225637572,50.38931124809373,42.09073396703694,43.31908965163097,68.74584772216937,38.02094788749509
2016-2020,49.277187654429156,32.58733592036203,48.74881983243533,26.09561628479958,25.726412167697774,47.436164407232965,41.17672401,42.73628239644767,72.91202204286782,41.151425297197406
2017-2021,49.02209863290306,31.616556592233724,51.677851752493204,26.43323670561733,28.119346783801525,47.72579513251399,39.72590199545227,42.62684811324495,73.60313061140009,40.57046464479731
2018-2022,53.935835179907684,32.10905558096777,52.74677494635415,26.816026532717604,28.76530145235571,46.53114748387103,40.21135561165751,43.297155943895106,73.78595107121562,44.63931113238669
2019-2023,53.38190256457455,31.625858359436393,54.29321270544913,27.130079807039856,30.657408310884804,44.63412554143356,38.24474694478959,44.41412201061641,74.34182417852095,44.41714953147396
2020-2024,48.583747556846134,31.479387125301475,56.23306144026651,25.782173608221814,30.568471501794285,43.64774683346578,35.28245044135569,43.34794433,75.08844034426173,44.62309577926482
