Category,South Chicago,South Deering,South Lawndale,South Shore,Uptown
2009-2013,34.663814606461514,26.646351644231032,24.45613899049756,38.140401634836614,55.81373219836423
2010-2014,33.802770585154654,24.338530753193254,21.527969098787516,36.33860458539061,56.108163702338466
2011-2015,34.076360704405296,24.474333579193935,23.448193983032418,34.54539141795221,58.355463472306944
2012-2016,32.022928376805254,23.903607226795117,21.77764261085032,35.017866993215456,57.06048992982826
2013-2017,32.553292340896434,25.04168031250589,22.386659870284866,34.845933402441524,57.58822566929692
2014-2018,32.34330250678799,29.648385118890054,22.81072302,37.05433935889588,58.69777463947791
2015-2019,34.05191195609858,32.20249269830264,25.955207205381537,38.06149341156963,58.81900895321959
2016-2020,37.68130761,33.07001452208923,29.627848196465813,40.68233166404165,54.209114148195006
2017-2021,35.363758116539394,35.96638082218794,31.049057983372755,40.18483345267859,56.433844613683235
2018-2022,36.71353206146691,34.545837197414514,33.05400220938641,38.39098769862287,56.907908061522726
2019-2023,33.061522568620035,33.13353988603377,34.893790243353315,38.62080358,57.444045201772646
2020-2024,33.987479444149656,32.29818180916809,40.26837872927695,39.50968056412676,57.44104021827278
