Category,Albany Park,Archer Heights,Armour Square,Ashburn,Auburn Gresham,Austin,Avalon Park,Avondale
2009-2013,39.527118332981026,45.66172364,25.862239218424442,59.72583411245691,33.78594969890068,33.550473029325715,49.86617437486983,42.01905087809947
2010-2014,43.054972624517816,41.77320250327482,26.75311041617551,58.45494106507171,32.69378599,32.51464459691259,46.588571025177956,41.08169920004135
2011-2015,43.22823008723849,40.79512119992498,25.592768651295348,59.84848889361401,34.22761581414973,35.13242049857907,46.58792731613442,40.696107164803315
2012-2016,44.52325796381105,44.27403048564934,27.31057852284895,58.36997587968821,35.28113847252596,35.56375376374158,45.454239819145144,42.61176621166509
2013-2017,45.06125128,46.64023762366878,29.015603272209315,58.633457353968886,38.31622404572255,35.39179582269912,48.82288278314101,45.28100047791727
2014-2018,47.35620905,48.730304497861795,26.363392989359888,60.520736641682625,40.32949043269038,37.17950605132982,52.46418065337475,48.35462745584288
2015-2019,47.423897138559525,51.81761234778417,29.831536889681804,59.50581622246518,41.88026093865537,39.69955147331848,55.73532619261125,51.58642978
2016-2020,47.151290903042515,45.815018471187294,34.95399861749306,55.724025947935786,38.753741036165344,38.606361255421504,57.68417296523424,53.574390123969074
2017-2021,46.2182872,46.98150744441357,33.46498300417459,54.542058253638466,38.683343541106694,39.14476553151794,56.901366577476736,55.29348060924201
2018-2022,46.229109403054764,41.86750800191385,35.71165400690529,55.84549295621984,36.72120095366892,36.65391059325162,54.208608358100484,56.90950560044018
2019-2023,45.15023958158808,45.52543655500085,36.97839646535332,52.71604134890168,37.35307202087834,35.58703779,51.37045272117558,57.021534655801766
2020-2024,47.66331669179908,40.06029156,37.75646380437243,51.67098469283414,38.160854792101574,35.57427385858387,57.23497256566442,59.112983715366816
