Category,Belmont Cragin,Beverly,Bridgeport,Brighton Park,Burnside,Calumet Heights,Chatham,Chicago Lawn,Clearing
2009-2013,37.840237896953745,80.13245299,45.67978569324617,29.49950821486343,29.60273860067302,53.923478493284286,43.10066255500347,32.903612540863826,61.52767385
2010-2014,36.62422450338561,80.42647480481426,47.156628299799905,27.527399686272975,36.06940877757958,50.346428657553915,44.784105386767656,30.054227161248427,61.58861932
2011-2015,36.79128601,79.15481798670203,48.68484453,28.091630472356183,35.380281709339165,48.935492808154855,42.41971141179384,29.902899033531703,61.86398488689359
2012-2016,38.04549616155144,81.13561857833932,49.11287322721696,30.18164396016675,36.24654801078129,48.297171159420614,42.05960774,28.675400347504215,62.043384934225315
2013-2017,38.01486662,77.76115324631745,51.170373653200066,30.224388343390235,40.545257547907994,47.41572949787245,40.87488259603087,29.43409310901906,61.02678724523579
2014-2018,40.10754045,79.00270574358692,53.08908866339391,32.364996060094334,41.09875965202568,47.61642577706007,38.160907196153616,31.68085237,61.173339039618455
2015-2019,41.75374481085415,77.41114131,54.48945894001648,34.59347840089023,42.88376469887387,50.60877486977602,39.53425747876487,33.533069877500715,60.77859994849734
2016-2020,43.35634662333719,78.37503000664738,52.23344865693742,36.53410362210172,48.62559529,58.13735533619854,40.13777213661354,32.24997028510059,63.326898597645545
2017-2021,42.32280403534864,76.753484,53.14586088213678,36.95609626829142,42.93750073460383,60.11014126803326,41.39683424148033,34.60320257,64.75840196478204
2018-2022,42.92025132325926,76.38613939710322,53.31093678988908,37.99138858,39.87814389834873,58.79671613227801,40.71085839654036,37.017136991457924,65.29458603
2019-2023,42.166163624170906,75.98641278248981,53.50192425537739,37.582818225040015,33.16210938085497,53.650397622705086,41.579281635109226,33.16534297218795,64.42127793239892
2020-2024,40.64509914520598,72.53312413526602,54.26076690881987,37.30974210218959,30.911566022910094,50.60153203599765,42.81930241400822,33.73613203098829,62.38402428700273
