Category,O'Hare,Oakland,Portage Park,Pullman,Riverdale,Rogers Park,Roseland
2009-2013,52.62238851,37.06103533424214,50.868712639937606,35.63562530203052,16.466067289331807,44.93048230254976,43.40572398171215
2010-2014,51.23278398223808,37.09976932319158,49.54018452674785,38.17403838,16.85448353,45.55349923433957,42.02991520648625
2011-2015,52.10066782890518,39.01272073026409,51.44014159878369,41.79971186461799,19.169532561074053,47.18139388892877,39.97388130911484
2012-2016,51.36300916037974,41.26936805478664,52.31141958275087,40.10625465906309,17.114833109980495,48.23945573353162,40.010148721648406
2013-2017,49.59107993855142,41.85976971264487,53.88880221019493,42.677552730568955,16.504959470335624,48.46502330124043,40.57984165471058
2014-2018,48.318030059851885,46.102925382376256,54.56867577,48.38078558961828,15.837122666293137,47.93758637970158,39.83407725314827
2015-2019,47.87391487933621,50.31632977690257,57.13448218662149,51.58370345159318,16.34360372918856,48.98839621209663,42.039066941747045
2016-2020,50.86907634964856,47.400279660588886,57.08267581580437,55.913724634433706,14.73474011090976,49.660777498033255,39.90904084357311
2017-2021,48.038674356330546,43.240280744698985,56.319848593687986,56.48627374,11.972793408308497,50.499967935684914,39.448792044588465
2018-2022,49.75083790905169,48.19716385,55.56149421780866,56.39242904,12.318061970994304,52.505685819871275,38.38086866250984
2019-2023,50.29888844914246,46.22803850655735,56.14457153906205,51.45336063031535,12.039962905172159,54.31152537043396,38.172812501249894
2020-2024,51.22194402613991,45.54862576752261,54.17690287186903,51.431113003449966,12.03270849,52.99399925826402,38.46450501266779
