Category,Jefferson Park,Kenwood,Lake View,Lincoln Park,Lincoln Square,Logan Square,Loop,Lower West Side
2009-2013,60.95109802474606,54.314401711297535,73.81408968157251,75.76517413954602,60.103936407852956,53.64426204795618,70.51425080244815,33.505515762233344
2010-2014,61.06190285468513,57.04309935029702,74.71835292312369,75.73418528762612,62.64054502156994,54.534259904628634,69.91601826730194,34.26827051146951
2011-2015,58.54431559618071,58.916444,75.18470848201335,76.39382655455165,63.18238033382991,56.38893113875599,70.67937444196194,31.63449194986816
2012-2016,59.480044167660395,59.55225428373599,76.85629809,75.26150322461743,65.21519316036273,58.269022585732856,70.92281332077009,34.85677557793842
2013-2017,58.76324469829789,59.67441600615595,77.89720271913357,74.86742102052924,67.81291482,60.661594752254835,71.88785286184418,39.564956720206794
2014-2018,58.804464126083154,62.12842050595933,78.85472123041593,76.25641177,68.48091028793905,63.70401180076593,73.95722867006216,42.38452597040166
2015-2019,57.16469765912881,61.00690625227991,79.18018015391917,77.66354946412099,67.92440030567117,66.18794582536931,74.31705415093764,48.340996386310444
2016-2020,59.73315453062036,53.294834524815954,79.61678119359745,80.34477967422973,66.58472228,67.27727896035216,76.51957962977914,54.77397697886187
2017-2021,60.87007841867501,53.189110464024466,79.53002248760659,81.21385170155844,66.09328641890153,68.11816824060331,76.71532877,54.77994532277708
2018-2022,63.09868644210949,56.93220634799105,78.54025959372781,81.57873029,65.36017674654111,67.17772464490311,75.24678964013145,54.67722996330311
2019-2023,65.07123106492433,57.221716732521294,78.46127047810585,80.53824522495326,66.11298809,67.28933990564501,73.83294781,56.748043274456926
2020-2024,67.19229940966909,59.62348798887663,78.50376263873974,81.04643841928171,66.47071701281465,68.69610615,74.68862811802278,55.55596205074915
