Category,McKinley Park,Montclare,Morgan Park,Mount Greenwood,Near North Side,Near South Side,Near West Side,New City,North Center,North Lawndale,North Park,Norwood Park
2009-2013,40.52793730342418,44.33507949790985,61.16272743637473,84.13549779767824,65.01744568441768,68.72067924215555,54.37078485640747,32.10983491722439,73.01292760901742,24.70489680602023,57.80134446027876,70.10139617120876
2010-2014,38.615342715527404,42.03721702388055,58.23182359,84.96336445762451,66.20517016289706,69.02007846,55.08106489209308,31.878812896830055,74.10324356,25.980541920343704,55.01614352697541,70.88512175465162
2011-2015,39.15470204226249,43.648786387907464,59.223939521035575,84.98657574,66.08202816,69.94386925622472,55.48187904230179,33.19345242301352,74.06790662070738,23.799121056915528,52.320053074402004,71.85269589006795
2012-2016,38.98498148128197,47.71242455,58.065563115039055,84.82939813251006,67.08536576998145,73.20100818107062,54.70676518392184,34.06993134996351,75.82702124174854,24.577881017245407,52.53892742395661,68.46415895269486
2013-2017,41.77682990255495,45.907156876474424,57.49901544870623,84.57601029506513,67.44721467476802,72.77731236143399,55.548551542538206,35.49788134569244,76.79225232,25.053340113169288,52.131318986498314,66.60000484226072
2014-2018,40.513186397913785,45.52740513427844,57.82712479130968,82.80611553047285,70.62094394598861,72.98049816556382,56.318732107011606,34.802399224042475,79.35596201425827,25.06399890700616,50.217200631945104,67.96025590443905
2015-2019,44.27057825751292,48.14753660013155,60.496925018281225,82.47599850593187,72.07967749013598,75.27825365059815,57.41473777152216,34.28277068848342,78.89373057174053,27.831625310777497,50.27296481093819,67.61080306304305
2016-2020,45.50148011157749,49.21540019761878,61.47930598347311,80.76899941833398,73.27390775118721,74.97750654414268,67.63027031849221,29.67486805397361,81.54653817725485,29.727097127637062,49.31953668876795,69.02569815802526
2017-2021,47.96315242983371,49.855513017246295,60.88973659169571,81.12060394123301,74.52732633377937,74.31661479029832,69.62058801949459,28.500975397489174,80.77679862898513,30.238849700278145,48.97507886992727,69.72782813
2018-2022,47.15652189452691,56.63719118819315,58.86217476915329,80.75847894983087,74.08526834440266,75.80271863885119,70.28924500202737,30.364976250391575,80.49221454316027,30.88626101603635,48.98969011,69.94269954185812
2019-2023,51.13312835,57.60144881489429,57.79929271,80.42200098828823,74.46396500134276,79.28716968450634,70.95978007443027,33.90728901637087,80.77216080816716,31.999072244422397,48.21428473271878,71.14609154567407
2020-2024,51.173282449313184,55.38408490170426,57.24575334472087,78.1030526,73.94622623712611,77.14215888075036,70.41383217425621,33.60978851437507,79.44797691680853,31.60572777227328,49.16409416508024,70.98733677141776
