Category,McKinley Park,Montclare,Morgan Park,Mount Greenwood,Near North Side,Near South Side,Near West Side,New City,North Center,North Lawndale,North Park,Norwood Park
2006-2010,67.32473468,71.23331608,88.64312455,95.51220558,94.20564391,86.69842788,83.52889355,63.64283378,94.19117536,70.21016806,84.15032613,86.63255888
2007-2011,67.15312449,71.67933584,90.0430302,95.29260379,94.81029751,88.15517594,83.80687308,64.0998153,94.88096388,71.70880028,85.71958572,88.46744216
2008-2012,66.82289487,76.22028094,88.96948288,95.67078249,95.62855691,90.75748912,85.57078181,62.45671753,95.32065343,72.2399592,87.72738729,88.80361171
2009-2013,68.99630761,77.16233695,90.59007924,96.01884797,95.55719631,91.76000631,85.85652512,65.33762762,94.55542745,71.89320024,90.13873994,90.54154372
2010-2014,68.19103266,75.53381204,89.80900244,95.76483185,96.1559758,92.08944448,87.89645923,65.67371158,93.76117816,73.23334957,89.6649562,92.01543877
2011-2015,68.44357053,77.10920868,90.30725474,95.26305572,95.99948589,92.69501733,88.36637797,69.91419799,92.54932846,74.46854248,90.57077909,92.42689751
2012-2016,70.58568986,78.92453112,90.45723381,95.78936062,96.46214647,95.41346629,88.01866724,71.59544183,93.11535131,74.2652381,90.40108698,92.18786919
2013-2017,71.75526244,76.87695372,90.98356559,95.6191236,96.79127869,95.74975315,87.87716851,74.42209706,92.63502384,75.82720878,89.53353731,92.4570093
2014-2018,72.68696639,78.19026669,91.26806103,95.59935384,97.24832475,96.39187061,88.23282346,74.15787089,93.14900914,75.79353289,89.16606674,92.69000789
2015-2019,73.16132207,79.71629559,92.31043944,96.29900398,97.23332382,96.29926746,89.27472432,73.65849418,93.15537067,77.56074461,89.11403795,92.21878419
2016-2020,76.57983885,78.91388429,93.56157101,95.31243009,97.90002647,94.7030752,93.95913498,68.55534102,96.57561176,79.91136464,86.90054755,92.86310906
2017-2021,76.84056108,78.87935007,92.75343899,95.50319498,98.10364811,94.60594651,94.37675831,67.09895602,96.4286159,80.57174747,86.14568654,92.77003309
2018-2022,76.17309543,80.81959318,93.23158023,95.92716675,98.34598937,95.44332595,94.48433165,68.55075196,96.86098125,79.93162906,88.61180897,93.06068316
2019-2023,78.53109854,80.73279476,93.65204663,96.03525268,98.22146666,95.89750275,94.77882936,70.53829291,97.27350127,80.66891677,90.15341006,93.20637993
2020-2024,78.55237385,82.00299137,94.36065944,95.25196973,98.17596882,97.65188951,95.26102267,71.2971844,97.26407629,83.94045983,91.41767515,93.76221784
