Category,Albany Park,Archer Heights,Armour Square,Ashburn,Auburn Gresham,Austin,Avalon Park,Avondale
2006-2010,67.11670498,63.14912171,63.20931934,82.42727762,80.96492359,74.87125838,86.80834215,75.06227253
2007-2011,66.88744864,64.42700536,65.27149133,82.07928517,81.47952518,74.10929931,87.70549062,77.61917795
2008-2012,69.21295719,64.30882216,64.8865962,82.12413434,81.71103556,75.99818652,89.38338427,75.51899858
2009-2013,72.46342202,67.56494945,66.09963549,82.65491877,80.86677133,75.84929007,90.08032139,75.63741967
2010-2014,74.9792307,68.20830249,64.018088,84.02600496,81.6092626,75.86718714,89.46779204,74.73337996
2011-2015,77.60661219,69.1715985,64.98494655,83.64108851,81.77545405,77.50963204,88.50203507,73.09750533
2012-2016,79.88984221,69.61446814,65.47743756,84.58916592,82.1846649,78.46757224,87.95878687,73.70000625
2013-2017,79.91001611,70.83522629,64.79839781,85.32433476,82.69993907,78.57597031,86.02901822,77.52661875
2014-2018,79.97495573,69.89791022,62.41921114,85.05873401,83.94189608,79.73750338,86.88513515,79.23194425
2015-2019,81.48670524,68.82374139,63.46281254,83.1474254,84.3329609,81.41350923,89.27020048,80.85072511
2016-2020,80.96844702,70.5335332,66.74522423,81.96502015,84.95416539,81.95320448,90.50727987,84.03713869
2017-2021,79.56452363,73.76390163,64.88398674,80.42785861,85.86282491,83.20464371,90.0057806,84.87818618
2018-2022,81.1509917,75.12969698,68.40518619,80.92472246,83.9837186,82.28703984,91.16621645,86.65918268
2019-2023,81.77618151,70.06758456,68.70486343,80.96045506,85.44360266,81.73083999,90.77071565,86.30866786
2020-2024,82.01517757,68.36620098,70.87547345,81.53287467,85.89111856,82.79863454,92.09009638,86.28568093
