Category,Washington Heights,Washington Park,West Elsdon,West Englewood,West Garfield Park,West Lawn,West Pullman,West Ridge,West Town,Woodlawn
2006-2010,84.71199512,73.200892,60.0662726,69.61234594,73.74899701,68.09774473,78.89470251,81.80096214,86.68894802,83.14357511
2007-2011,86.03653907,75.55642912,62.50049291,71.78744536,75.06341493,68.62336343,81.23589066,81.67959155,86.66728555,82.58054544
2008-2012,86.2188839,76.39243461,63.23934352,73.62494442,75.98182875,69.89947494,80.37667679,80.79901184,86.93533273,84.05023369
2009-2013,88.09349355,77.10738155,65.8095974,73.72878521,75.11860809,71.56295714,80.85105949,81.52326354,87.46112921,84.71401604
2010-2014,88.68917413,81.54905923,69.56932671,74.7165062,73.26852069,70.06604428,81.4851304,83.90417722,87.89417076,83.86730787
2011-2015,88.90707735,84.46324305,71.12480156,76.46744628,72.71500263,71.17010795,83.27673677,83.62529298,89.01653254,83.89587872
2012-2016,89.35739091,85.34670433,70.82257623,77.33465701,71.94469476,71.94685427,84.19595289,83.66388264,89.61935257,85.95837643
2013-2017,89.44274101,84.15080501,73.19886924,78.62786921,72.43158479,70.8116645,85.11377152,83.64885008,91.25397104,85.96157863
2014-2018,90.00237381,85.5866526,73.98799569,78.56159376,71.9379043,72.06367972,86.14960719,83.16378582,92.57878262,86.07188008
2015-2019,88.43042696,84.24428348,71.12343632,77.89336843,72.71826174,74.0905265,86.04735055,82.20894906,93.90611851,86.40474461
2016-2020,88.57722614,83.64940977,74.33571566,80.06002089,74.55615036,71.86649481,85.8935902,82.72427531,94.35622132,87.74129571
2017-2021,89.2731026,82.93398514,73.74741006,78.83243854,76.45927019,73.91259957,87.74092034,82.8807016,94.88735522,85.96066579
2018-2022,90.11142118,86.13631428,73.54091092,76.75601497,75.09010265,72.85288413,88.15862157,83.62586359,94.83414662,88.00867029
2019-2023,90.01605203,85.88579027,73.59955544,76.12614599,77.08281488,74.25183479,87.53525978,84.12118016,94.99343656,87.26732229
2020-2024,91.34577287,86.04573588,76.6225226,76.66405439,77.62492517,69.81235815,86.92482632,87.01306925,95.08778805,89.10621972
