Category,Gage Park,Garfield Ridge,Grand Boulevard,Greater Grand Crossing,Hegewisch,Hermosa,Humboldt Park,Hyde Park,Irving Park
2009-2013,28.290193375111922,62.921395474383786,40.045431446387184,31.21295542866946,59.37855771327852,33.76450164254047,26.92977673190696,69.15614736791329,50.81746205067754
2010-2014,26.112895790568743,62.48775552561872,40.379257509731985,29.721807211708775,60.295489106718875,32.7395776,27.75021888296629,68.14126977451606,50.66286986640059
2011-2015,26.326982058361597,61.14188764433112,40.457850832323494,30.24010468,61.51370251121139,30.48797294887282,28.316917343216954,66.90350685865496,52.64488825
2012-2016,26.680181349418575,59.44839754862833,40.176236180067676,32.17997430170559,59.63438387485769,32.55801642958913,29.577702393846828,67.43126464,56.26594262
2013-2017,30.126938700388816,59.97670593622695,39.62872073511221,34.210135219366926,56.156671762711866,35.46750941778066,30.404713237617745,66.9826855,58.394075881269366
2014-2018,32.515299096562906,60.76050982594059,40.104616221216055,32.217178107468754,52.673976909175714,37.88381221139275,31.190472558216058,66.55997440438341,59.752776134654844
2015-2019,35.44582055829644,60.40397724025734,40.14544994659209,32.381349779533124,54.12807283447721,40.45292197839324,31.39306968736516,68.20233211724843,60.501966996563525
2016-2020,38.67353172849443,63.12285614585229,43.40702933327139,32.50931530746803,50.14870245684254,41.63868294917221,36.929734131189996,70.96058066096316,60.83489882469158
2017-2021,39.89843842687413,64.67130613314144,44.70703577,33.23707527300474,55.624437521262514,42.973686291673715,38.61182467755104,71.54308565261282,61.03585882902911
2018-2022,41.69441840421938,64.68617409533353,46.150023028038845,34.041455156277834,51.75323187002367,45.17373407098398,38.38799093441876,71.63929473161467,62.256115328969635
2019-2023,38.23804572798601,63.38907205888774,47.32630747528855,34.56109330322607,52.514660330745535,43.42781638451881,36.29516195983371,68.90719415402674,61.488847172926555
2020-2024,39.00794382785865,60.69376503327735,49.991406382154224,32.81128719711328,56.62226886725986,42.525051557559124,38.297672122869685,68.60204415498407,63.78825695272766
