Category,Portage Park,Pullman,Riverdale,Rogers Park,Roseland,South Chicago,South Deering,South Lawndale,South Shore,Uptown
2001-2005,112.43624636641054,87.01016608702682,188.87809381967807,248.6691771694735,699.1826382998925,474.7694072225737,148.26179135020766,433.59681814891394,736.7953685562476,227.49067971416363
2002-2006,104.42939355067391,79.59487924639465,167.6393595025816,228.95864903423924,659.9644740422573,460.71366654845934,140.61903495494752,392.5610316459976,693.0643849,197.00469764254146
2003-2007,104.02144850074268,80.52670168824778,141.07870635619705,215.75111348773217,642.9627080529633,456.9459227325802,125.31912358882285,364.27389157964933,676.6388816044421,176.16392211324109
2004-2008,101.22521391843063,78.29676147,121.31346903699175,205.68797231560495,625.9007956289804,460.1973322488537,117.93208919554809,351.5549005388023,660.6569141,167.20119003096238
2005-2009,102.02969382300357,73.29692112348224,110.06280658406811,201.0944608119454,622.2759434,461.43822225281036,117.73392690921628,347.0018128853427,652.9820146005505,155.28204881730235
2006-2010,100.4290736182208,65.73605197976133,103.3655452628599,191.80739022826782,623.8054476249825,468.2519430755992,124.49829682212501,330.53604110673916,653.8846514779138,147.56116271760774
2007-2011,108.63124543834562,62.94775449541754,98.24439433,188.78487510834327,603.1641773583084,457.09213852292777,127.12526270435232,313.3813654022384,637.370144,150.0428594191182
2008-2012,103.63550985170724,53.55072687124252,103.4341761039048,186.53466076788945,557.8649323790045,434.53907223469486,126.52339961322815,301.2311520123468,608.7569752188223,144.68536272696377
2009-2013,103.83168973173748,44.33504957,99.60733222357871,178.46150276820538,500.2182803139872,392.5834517146288,123.92905177318815,290.5064013697904,578.7524795,132.01251725001958
2010-2014,98.43074740451596,41.70565581919212,95.99001466163256,166.51046561742527,450.15980931559073,365.5808521959713,115.75214748662407,266.6974368085446,543.7860030142813,122.69337337358789
2011-2015,93.42728402089274,42.25531976662286,95.57252395130942,155.6673594,414.9785323377455,340.9945085581504,107.18254936383335,252.76845557343754,513.4122153914611,115.33595923441698
2012-2016,88.22955043034366,42.66501012420523,101.69405886555991,146.97261716479872,403.9982214946138,333.4590869812109,103.97445057929217,271.6020731609799,507.56862,112.97617068087287
2013-2017,93.83070770878963,40.282160217741136,94.92779065565219,133.75001716175885,400.65064865534305,322.4706096536828,103.75268511364806,280.01132147678413,515.7920787035019,119.69456949277263
2014-2018,96.82727947239484,44.27737909317091,96.90943162095546,127.2336608727721,418.71474675031277,329.8668315,101.58232501080137,286.0677958392411,535.9325454980125,120.68974142442603
2015-2019,105.02567040492741,44.69467630305822,98.87046243498835,125.44853852889402,439.08142345783324,331.2775448793039,105.91509143996153,300.4708916523069,564.1587603695689,133.2497009247111
2016-2020,112.82632320049868,46.55927818328842,100.0987778377949,128.61832351260043,467.7504013799157,324.0963530805137,116.08093603934276,312.6853900411498,600.2776785840372,137.36574922051017
2017-2021,118.0251557385222,50.77761919777897,102.29634165143578,131.91132492056852,473.42202757010534,335.4791353039184,126.03766534292828,307.2846248,654.4642502874761,138.64646660045463
2018-2022,124.02846433504119,54.60603892816791,106.30173024133443,141.6423382331326,481.08357799679624,345.2811628467544,134.41920286581092,310.3450635810317,682.7305544977202,137.4074938574891
2019-2023,134.22873453166815,57.842546961437925,115.18615351109892,158.48898729983256,490.5576451471703,354.45677722533696,143.59315011556885,331.2980009036519,727.1382787036669,154.25102082738982
2020-2024,135.43185685597592,59.68111960315103,121.15791164935732,171.609648,491.5032625920058,374.5680631428609,152.20767546921655,348.7316472510672,772.7686810376114,169.57392906216197
2021-2025,134.43511941814236,59.67474735,121.13002867804202,175.41606224306935,463.0340559,387.3292805220112,151.40677703212344,343.4422256,788.6052683922279,173.6183267677837
