Category,Washington Heights,Washington Park,West Elsdon,West Englewood,West Garfield Park,West Lawn,West Pullman,West Ridge,West Town,Woodlawn
2001-2005,225.5169024042104,367.84851578104616,46.424957909634045,973.9484502342181,455.3575713389533,82.60341811993432,508.2852972887773,135.92364363988548,535.1902495753102,451.66003564648895
2002-2006,224.92022526676072,325.44387086372086,47.60749126144792,922.0015569326212,441.9750128566488,83.99359387974341,471.84428917396116,135.11840648802908,476.32083734674063,427.3145834277046
2003-2007,230.85116292180345,311.04472025521324,51.36643678077688,885.3896296048109,418.6412766436565,86.57447604119524,447.3886345777283,133.9192146,430.53156374922446,419.49632994093463
2004-2008,225.8307752460231,286.6611341137876,51.18215957462969,870.7301672291895,415.83632053552526,90.96576666694361,430.70752571250983,127.72383458347956,377.6989434762844,420.7485465021566
2005-2009,222.02209949010904,268.67320372656167,49.600763636689386,812.8119340314439,404.0501359013366,92.17370695069351,405.28706649128634,131.32782355466398,351.1684984151488,413.22455394457637
2006-2010,217.6206566949197,248.67043072304932,45.83106709647005,765.5572859023389,369.4834525994725,89.97770271871917,387.78450187575913,134.9266598087669,329.62064985507897,399.8750684887747
2007-2011,200.5327782117413,233.06777004340645,41.27154692051722,721.8961350328849,357.9200942320713,79.81474813588103,373.5343469,127.53331845985005,295.2185423228812,383.2414609237629
2008-2012,184.41383583953498,221.06220964370908,36.71934728129261,650.5539831440684,343.9061432070733,71.65346168117722,351.78419651740745,121.13509529506904,275.9572998768267,355.5792825528507
2009-2013,170.67973342123122,210.0451032333508,31.15711268527556,579.7961945416016,320.0975413645397,63.46331153640795,320.20807741732256,113.54158005771679,260.0110954001191,319.83391809387535
2010-2014,161.9123694831534,198.23034174607386,29.955509575233073,550.1292603925313,292.7077119535761,54.26295514916729,294.63157885512106,102.94074700045962,240.00421258191054,278.07332942856834
2011-2015,160.74176529996933,185.63008973233823,28.564068798657868,519.3673066462301,298.48336905052554,48.676471956576606,273.7000557622109,88.34923786690972,214.70547000201594,251.65084421044074
2012-2016,163.88862197975428,184.4316706700207,26.98592088287416,509.50907398166225,297.8653448,53.454409333413764,260.14920667957966,87.95371556495627,216.00997727245843,231.8480141507622
2013-2017,168.68081689693548,186.0291909304761,24.61104331101161,515.7839611760483,316.4298072037468,55.43147492506917,254.67937889436905,91.55659164523534,223.14800591453977,229.9359643535741
2014-2018,170.91350230880005,196.82774785607344,28.180292184602592,539.5209875919167,339.04655343329415,59.019175532649584,253.25818571918612,100.7453277992703,230.5773215986582,233.74044147452446
2015-2019,182.09286918408475,195.0357415800183,30.571563820532063,555.3048192,368.61104585216145,62.216551865464645,262.4228553,106.3436188447771,232.7758708253338,247.6432154965994
2016-2020,184.89482281413513,195.8419991123312,32.55193850854175,581.6688377835849,403.5843458360052,65.99394867020125,289.89341685827856,117.72925236396955,235.18885287205222,258.4757653970229
2017-2021,188.10231625338406,199.65094005444095,34.93351504953257,589.4156266808837,425.14423597578497,66.59908449745144,308.0565354681194,115.52308246108986,230.5366797613133,272.69931008729753
2018-2022,189.2843326600552,195.85363568372213,37.91253471433412,575.9500093082457,415.37132360554904,68.78693758137452,308.89221353887217,124.91648130019837,224.13324536696524,274.41821600000605
2019-2023,196.6925158269008,194.4617576316654,43.460533063804384,558.4561468944847,399.7849333069557,70.19914755495269,317.6182590291242,134.10519766413452,226.8303673487204,266.0661666637128
2020-2024,188.53143060301588,209.05991802029516,47.03720425828499,531.4359919860092,389.2334209760176,71.99083814415418,318.27165038501033,142.89410921584664,234.9096143885203,280.35112451719715
2021-2025,181.7758623056859,216.65122358152507,47.04201757593408,478.9292676540948,352.90389115010703,71.99969401012861,289.04241585147804,144.89777571194725,244.01209641883185,275.03779716172807
