Category,Albany Park,Archer Heights,Armour Square,Ashburn,Auburn Gresham,Austin,Avalon Park,Avondale
2001-2005,127.71761664258597,45.56058854,60.35659104570994,133.3737342302604,690.7937825628427,1246.7951045832124,91.22888586432157,180.36782541145817
2002-2006,116.08948693613216,46.34821541,58.18688855018713,138.86874073982216,687.0746967374536,1176.145716345039,84.4788667,166.76065312716156
2003-2007,114.0886467245827,48.14239271953942,53.484432211488055,139.36992774609098,700.7887832639909,1126.5301064997439,83.70660650697887,152.35892726119533
2004-2008,110.09168451755936,49.356220355336234,49.221698338205655,147.98236650726523,700.7958615721402,1099.7127178342764,90.16799671974773,147.9577685090392
2005-2009,112.4850516815393,51.14973251141996,47.932862465058996,152.75893445434534,694.2156121475532,1081.1859907656358,86.85015990735654,144.34961154254515
2006-2010,118.24796009408527,50.71752236584562,48.42115177337994,148.65386199998733,669.1006416433416,1060.9021474726353,86.46532847,133.35569281514378
2007-2011,116.0236564801938,47.084175655651386,44.167698023344876,137.97529572427638,619.7899592640607,1026.6124383727376,83.88616677962679,129.15872070392228
2008-2012,109.40054268050804,44.44461602145047,42.77626153035405,129.2461749795651,557.1518209,1003.3200978378936,80.49928035111081,129.76240744723083
2009-2013,100.97320397139573,38.81878394580842,43.46648149583427,113.9636361316811,500.40338966294365,952.6958412,71.23938029862273,118.36445909307037
2010-2014,98.15665701422577,32.202440425240646,40.895320485383806,101.6938360441067,456.18093660472874,891.0999583677611,70.41888595,105.77702377034073
2011-2015,95.76216476311893,29.801436564475942,41.84916683118528,93.41908641106711,431.27780810482045,867.2203029377408,67.42546668994675,97.97969197484046
2012-2016,94.76522907450145,28.840796788150154,43.64267133772969,98.14335264132495,442.45432891909223,904.8723147220819,67.86740907942924,92.18444947248136
2013-2017,90.19830607649911,27.436500510353635,43.50114711480808,101.31174295794155,464.1130035292079,920.9685924614839,67.84945556326146,84.58694315685825
2014-2018,98.77770048453006,29.427717117204974,47.11603349333149,107.50951507948871,490.71622463464035,961.0436149785938,71.56662123,89.38849983389429
2015-2019,99.38594700668159,29.828936269179657,49.151046583247975,108.53759504019735,503.8696553109076,1018.8744387422981,72.32897747869444,86.38401793956398
2016-2020,106.40988834501233,31.85176982689179,51.49984040779338,112.74792234843038,511.6526005970858,1082.5273531486575,70.01657348546289,89.58567358345684
2017-2021,110.6218529835221,38.02554007835688,53.597677167846896,109.57425753394995,520.5386197,1073.2758968104013,76.00546774869055,91.18291417133457
2018-2022,123.26153220162749,44.85402322268536,57.12014491617917,111.77456148282586,512.5195264401318,1048.2753271465697,80.18506935425656,92.18047099985966
2019-2023,124.06977270603656,50.72037267353552,57.33589545758974,114.75536037987295,508.9801100664049,1051.025714907702,84.01323320270492,88.1815245
2020-2024,130.49329217835728,57.15323071446807,60.87685411001974,120.94389318742316,516.1463003385478,1047.0087066376057,86.80176776,90.98175342866062
2021-2025,126.29726878980168,59.15240576680518,64.08794034508072,121.5426421865313,516.3161234523736,1004.492985295569,94.99481817,91.18152967202997
