Category,Douglas,Dunning,East Garfield Park,East Side,Edgewater,Edison Park,Englewood,Forest Glen,Fuller Park
2001-2005,307.5370906521782,45.98111045709807,492.21870655026663,104.05670548367999,116.61248147109501,8.594855600869954,884.5866522383941,12.231497220354793,73.73178932070905
2002-2006,265.7044390828682,42.18797170604533,475.32407073821884,97.34758517822435,107.61114837913587,7.595457693165823,811.0740719304792,10.631759780460838,69.07691241273771
2003-2007,240.2658826471523,39.189655488229526,459.96350201665666,89.09749900858651,103.61115157674122,7.595572143675757,769.2476883,9.845760458176597,63.502711383807686
2004-2008,220.24930034870465,39.98690357067069,447.1034529981192,84.67912960517941,98.81440551225595,7.195892533072269,766.0087659942933,8.243720207303813,64.26511054
2005-2009,186.07053261397593,38.98846612560565,430.5419881472642,82.61794516,97.41423654,6.596259804535312,727.1554752749925,8.446144145279646,64.83318343360789
2006-2010,152.68978728312308,40.38568568148171,404.9117769960163,81.82380464,97.01608920292412,5.197038296131365,689.7848248355939,9.438722612090967,59.23860944999224
2007-2011,123.29535248214516,43.582466773822986,385.19861702430796,82.14025211951366,99.21643571195308,4.997215258591922,645.0708575957949,9.431934715309433,54.81662621457813
2008-2012,95.71284815746196,42.78372073537257,356.3013564158924,84.87524895,92.41577919630309,5.396906244994934,588.4140443,8.628574002,52.7242594
2009-2013,85.10990768,43.9846207,321.5523971559827,76.80867769732048,87.41176823,5.396812077,515.1075002265828,8.621638192,49.075580375801685
2010-2014,87.69680824033185,44.58337612173735,299.1740061582926,70.61727064649466,78.21117337298432,4.197604434530161,487.11079607739936,7.423487534822012,43.400804484595646
2011-2015,89.29365925657788,43.18339341741898,292.1628047580868,68.60622366455755,69.40959269,4.997079470022866,467.7964286,5.829762662246448,46.76890677933286
2012-2016,92.29224780518224,43.58314424433955,307.70121935332526,64.94560857,62.009503877277965,5.796526586582704,474.7349066468122,7.028752045462357,47.75017455287972
2013-2017,93.88449091793312,45.78033804150378,316.1405767230325,63.53770924833243,60.41156009790711,4.997036885487916,468.5254243944217,7.625833504062959,50.11326629381545
2014-2018,98.08393826640015,47.78031573314905,345.13054103603093,68.12782307,63.610798087860104,5.996418200294571,483.138925,8.437146697405986,50.72861511420554
2015-2019,106.47616471980342,48.376013986256304,358.87747278782797,67.94968474463977,69.61079073220544,6.396197338928177,487.3265557884553,9.228996124518845,53.95343926
2016-2020,117.07201603713399,48.175695466224916,369.6805848364059,66.70390105198615,75.41322329330148,5.7966474526719445,511.22232559834623,12.818676375156974,54.55935609903494
2017-2021,125.48123469849908,50.56714622419644,363.88418684800627,68.96734312677688,82.81516666,5.197051998720066,526.2510103,12.424890026055497,55.13750487810532
2018-2022,137.6846330697782,52.36779990574124,358.86596363427725,70.97074016375207,89.81484905783297,5.596943119727003,529.6744450754462,14.219000545739801,53.94838569897009
2019-2023,151.34135681684944,55.96566613832468,362.9093759360855,79.63296398943122,91.82086459482024,5.397107650522732,538.9203534621823,14.208143909348108,60.02164448061065
2020-2024,156.54492665852834,59.36840211001035,361.1499954,86.91518440672463,102.82066677150466,6.196600641420079,543.9573190876711,14.213810566804847,63.01795832221834
2021-2025,156.55964452860655,59.37177136459742,353.69567224111694,94.76868694905318,108.22032320197198,7.195944988283521,519.4835126877861,13.226561021610053,59.01883151569513
