Category,Belmont Cragin,Beverly,Bridgeport,Brighton Park,Burnside,Calumet Heights,Chatham,Chicago Lawn,Clearing,Douglas,Dunning
2001-2005,429.0106123705237,50.95426783914566,130.13748927868903,304.0408766132726,70.81106419969385,156.61136234586647,579.5724154996157,1108.5699472720105,50.16805031163274,1491.6078821542715,86.76318506688044
2002-2006,446.2881064574153,49.08962479517316,125.33440213669039,320.4303656658543,71.00951919752286,167.01190910426635,653.0866009542387,1222.316288800037,60.980859419634456,1360.4641498265232,95.35817535702857
2003-2007,477.61149683335253,48.987521371800966,125.93581581503231,332.47998683819804,79.37002889122148,191.00865483647988,828.1974654224324,1302.3479489788651,76.46680905377654,1396.493648066897,99.95904399272469
2004-2008,503.5981994610484,47.539798675485464,123.58685018993236,331.0362717194872,82.94482668881848,195.6204607691098,914.7362865278568,1323.0581602169245,83.86261054405175,1371.7085007848418,101.95875476141525
2005-2009,532.2656420241159,43.03358839988338,133.99162675373958,348.91482765936126,84.11199946250773,188.45196307700638,951.1530032000971,1357.5276290440845,88.23098215998388,1171.9019892398208,96.56709142537743
2006-2010,547.3717245848138,39.986335969537144,137.14724324470956,354.85661463073455,80.33395280578999,180.85179248011013,964.4305671460937,1423.297990373721,93.71544155025478,890.1918514,100.16534716364527
2007-2011,564.1299167110919,36.52665302507388,137.27493961181145,331.69799811571363,77.75308982,168.84799874989352,935.9884653565033,1397.6701147259369,88.74224065,627.0183907419431,96.56509112925988
2008-2012,559.8863134748294,33.39889528613377,125.72665580133024,292.0665530248268,68.00052677,135.25773827617064,806.8828155,1331.7824737762871,72.41731055177253,380.72387387808936,89.16847878988693
2009-2013,534.2105501842461,31.69870645435264,119.26371208585881,272.22639378857616,59.25103158969384,113.6584200173626,746.7998539715305,1226.5963182856055,63.304767357592425,247.54230677330634,87.16971938
2010-2014,486.45056179228635,31.14137595142826,97.84283022498433,256.9232256533834,50.31067261008988,98.05048103599842,672.2032203003412,1103.490994690143,57.13045264416617,199.73759359839286,84.76925138193279
2011-2015,431.7552961052799,25.97271371502355,77.82901288279899,251.43760275297905,40.968125938447365,82.64144115224536,589.6184574386266,908.8502304454026,51.41816904596515,163.70242428873246,77.37298492348671
2012-2016,353.04167160704867,22.934282754885242,63.728255319145575,234.0304570253919,33.805323053746754,69.03990467709801,495.74612333506883,663.8286341821058,44.27191297681455,143.28377427667832,68.97782098832988
2013-2017,275.2791719400586,18.504188295481796,56.40762685938954,221.72385581303496,29.229604276019767,60.63300376253561,393.1879563097359,489.0336576666004,40.633755412153604,120.87635287436494,58.37805894933109
2014-2018,225.52412854543024,14.616474215174394,44.377846288940596,193.0055528316995,26.643430126885228,55.02925664,317.7194410471628,376.6307938464191,35.68391699175309,83.64300720180249,43.78376747261715
2015-2019,193.8481087636108,12.39956908,39.78536292935314,146.08560671162846,20.886658030184254,52.40598668390845,277.06749735533265,303.6033707628071,30.932638479440314,67.62780404229554,29.788526148544737
2016-2020,155.55918797590206,11.293411601803633,34.250531598195536,92.52409182632043,19.09555425704962,43.20630061,231.32113857419733,217.5707329653241,24.61455610294362,59.81281908036989,18.994614227772832
2017-2021,144.12662609520424,9.644329220956973,28.840648043402076,63.75693944527961,16.908429900776177,37.603733847501566,192.47699359148956,188.17710034902638,21.394017713053078,49.80642751428197,13.796399464111355
2018-2022,133.73462488157625,8.845267711445983,23.429777533486217,46.75020032134175,13.331275094106461,33.40010131112476,161.12640437714765,159.66363982373292,15.558114102282264,46.006518082566195,13.198756786712238
2019-2023,115.54426391411911,8.763531937217607,21.62970528012496,32.24351444,8.550531594219017,25.601135985856818,130.07987719458418,136.88287506862548,12.340373004585173,45.41631165624904,16.994169160344544
2020-2024,88.21655942860268,6.937657491001111,15.848484958552788,17.432947215733964,3.9742144118671137,9.406230543257305,78.51275022873682,121.90765801039493,8.156343688126693,38.21012262,16.19367884181433
2021-2025,70.63415203603411,6.740883257587787,15.10152851031812,13.861634536843235,3.1780970237455297,7.006195085133076,62.70552169487603,135.09244501789806,6.972349812,36.414132666681866,16.193993431249122
