Category,Hegewisch,Hermosa,Humboldt Park,Hyde Park,Irving Park,Jefferson Park,Kenwood
2001-2005,60.115909602024715,204.27400095865025,3501.0754688867205,73.04502031000344,319.7142749824664,49.95034114398436,130.27337046185673
2002-2006,60.91227865,213.49729949030782,3450.7953984906494,64.24837966749394,305.9431625,49.14810105092964,114.27551019390111
2003-2007,67.43474657889723,230.32403444082078,3263.527793,59.05999934978099,301.7422244215935,51.940438930035306,115.27616376209458
2004-2008,73.53917225536838,232.5940801975895,3054.9550255817585,60.46143482724831,282.3365964136832,54.33643097813189,116.88122976677849
2005-2009,69.42054225571741,231.70502797344997,2881.593696895047,65.45006649556206,259.7516510991065,53.35749260482028,121.49353716061846
2006-2010,64.88080404,233.06558996533707,2649.619541826483,74.24109252580864,246.9610291000236,56.95570651516309,131.91111520517475
2007-2011,62.11912841599315,217.45876939915337,2492.4336913028806,81.43363619945319,258.1388350167208,58.75703232697553,140.92092382464125
2008-2012,58.15202597690482,197.51121221374902,2470.631364360359,76.62630523518047,248.33804908701882,57.752694082059776,132.71398757311968
2009-2013,48.27837614848472,186.2957456461536,2513.2145857395644,70.22277804805437,240.7247529574514,63.94685193122195,122.9097493935031
2010-2014,41.96304710250235,175.50894424924203,2478.960299156846,58.42254545675702,217.72623425596805,61.14211209608187,110.09043005960531
2011-2015,35.83591598704533,147.87197949358418,2257.2689575625336,40.82511456203136,182.33763728623845,61.74420201268194,87.26282507815894
2012-2016,27.916128614392697,122.36911546079482,2015.3612914311611,23.623174325882026,137.1562015666354,55.751863763922486,63.04010760036013
2013-2017,21.20317976,95.19350342980711,1730.7138998219139,17.01607346599448,101.96560979233917,49.36319166816606,49.42975984626392
2014-2018,14.487298440355993,73.84941298281562,1529.5217948572272,10.815161779789095,73.98109333726569,34.17950067513262,31.816067056957728
2015-2019,9.328880436640466,55.350885696088426,1432.820528527764,10.41154050231873,56.79055149330893,26.186136340110348,17.612270992308463
2016-2020,6.5515872606951975,44.23934564,1343.557695540792,10.007137884406282,40.99172446249982,15.99207632330337,10.410273012207073
2017-2021,4.9635056856964095,38.01597896541366,1265.7137527920775,8.606900780377645,33.192740956224235,13.591998502968476,9.808427718221493
2018-2022,4.162306996357772,37.40271345833384,1142.8465026713639,9.007395642158647,41.78735576,11.79133362136749,10.408677186635673
2019-2023,3.565783224811315,30.68668999682089,975.3502490670468,8.606213767052632,39.98922650923729,11.98703194223377,13.606908998611823
2020-2024,3.3626709111606683,23.664471231698748,817.1615596062408,6.206206398462561,36.98714694293542,11.385750066418076,10.40393254
2021-2025,2.970984977717656,18.25370973442992,836.3765726625527,5.406275837419453,36.79125069218666,13.38374547127953,12.003774464579196
