Category,Lake View,Lincoln Park,Lincoln Square,Logan Square,Loop,Lower West Side,McKinley Park,Montclare,Morgan Park,Mount Greenwood
2001-2005,318.2567606781935,142.2532399913289,105.03574417434145,579.2917284436503,190.63065041896633,333.6633714441327,100.72230480834567,27.212522359400182,332.67395610206927,38.76263758396555
2002-2006,318.0636781961315,140.48952068885401,108.80667951110618,584.2107077976573,190.80177052997314,310.05916551119753,99.90944839270601,26.612528668011908,316.0916732194543,41.35879372
2003-2007,319.07489487967814,134.96574716199598,116.95461543924209,599.0877806908925,191.08555971110076,308.87551224432224,105.490573,26.814543958526848,312.70787886902093,39.759458699303416
2004-2008,293.87331186154313,134.20243808034513,121.1420083188041,588.2928867069011,198.28219085843082,291.7501124204456,109.31866522582935,29.41771450073358,293.9187295,35.36385764883374
2005-2009,267.46678220672226,128.85034667417673,134.50983678377239,562.5459463660349,215.9929776341697,273.67564857719196,130.05392978594827,34.21258518077619,285.4991280888937,27.572089903891666
2006-2010,247.6697587856959,121.07370214881615,145.51471039407818,526.2979990170727,228.0882329580702,287.7809944,140.66062054355876,30.61980516807771,289.9153217724044,35.56274741205709
2007-2011,248.0698378143096,111.2839178,147.7192656377617,457.91017715493615,238.9565261762887,296.3511804774311,142.44230682938593,30.625184810567276,276.9193085158618,31.36786118494412
2008-2012,245.8797420850211,99.28610703765403,139.7311551996968,403.0263018065493,238.90684558509105,282.14939204318324,131.4614402149972,32.827449562766404,261.3252917982918,29.569955093346127
2009-2013,250.6797766795939,89.50012419233555,129.9458378,339.5502962563351,230.7961464042684,272.3264516678083,124.05453481641581,30.824533062424898,260.9319863661191,29.36941665337889
2010-2014,240.48021859413205,80.90426300593649,120.37736224274573,276.09061421150943,206.88752121651123,257.47620072546636,100.10742931074286,26.22552315557411,233.36917742517713,28.172365428545934
2011-2015,208.86717853137085,69.3315822,101.60926137885097,220.8998717599935,172.90898703698068,216.66211071883868,89.25304657,24.019352297085618,196.56630954794366,17.383732296422302
2012-2016,167.85559020904802,57.94746114812109,80.03634266217207,182.12195318891753,139.15206905667836,172.92508776644152,75.65639767709055,21.611157578860002,163.57616656211925,13.387287577922153
2013-2017,119.2329771158989,46.366027553913895,64.68284441833045,130.81493319247957,116.26638355351417,127.37684051652063,73.00441842355394,16.40566160504501,127.99689649754961,11.38954646807414
2014-2018,86.21551436792548,37.37244655,59.09095329320207,101.58479554445286,95.56776634518229,95.40292967216739,60.973263993346414,12.405794477027811,92.78331657242913,9.391365852761258
2015-2019,62.600600705546924,31.979928851173046,42.71016252320105,82.27969522460093,96.66644985696769,72.69969846366017,49.38734211383621,10.60254115481694,69.94480063,8.989887291
2016-2020,42.59583464829099,25.181288413414826,30.924732364728214,66.86636969671916,92.39796161,58.57723838249541,33.81128382122676,11.202375302701409,49.354783180882436,8.589913166
2017-2021,30.793682854001418,20.384270803163545,24.553201505930947,58.44049164172129,84.45788224123444,47.59338195277753,23.412428746035857,11.001325571577215,43.36125678,7.392087979958911
2018-2022,26.99351718329225,15.988092925583777,20.158514973350396,51.49261034638336,80.25054334325283,46.97216878338012,13.418052017507016,9.002793992110934,40.55939653828963,8.788919785843458
2019-2023,23.79834712,14.388238558778667,18.17548979187877,45.47267531445805,89.29180996681339,41.583704157274525,10.6183116,7.002314341777012,34.99065645229727,9.188524512194553
2020-2024,21.403710784058624,9.590701050777032,16.378593310244653,35.199208561107994,116.8083961619896,33.24922523883296,9.219900234158365,5.802736756754459,29.99614635235652,7.191095754189169
2021-2025,25.003969302525384,11.389808406539329,17.38445982324075,30.47603904421697,150.81752459734125,29.10012777834916,8.215107543,3.602276685997598,29.797737263831056,4.993695452145866
